COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Afghanistan";AF;AFG;2;"Badakhshān";Province;"BDS";12267
"Afghanistan";AF;AFG;2;"Baghlān";Province;"BGL";12268
"Afghanistan";AF;AFG;2;"Balkh";Province;"BAL";12273
"Afghanistan";AF;AFG;2;"Bādghīs";Province;"BDG";12272
"Afghanistan";AF;AFG;2;"Bāmyān";Province;"BAM";12269
"Afghanistan";AF;AFG;2;"Dāykundī";Province;"DAY";20221
"Afghanistan";AF;AFG;2;"Farāh";Province;"FRA";12274
"Afghanistan";AF;AFG;2;"Fāryāb";Province;"FYB";12270
"Afghanistan";AF;AFG;2;"Ghaznī";Province;"GHA";12271
"Afghanistan";AF;AFG;2;"Ghōr";Province;"GHO";12275
"Afghanistan";AF;AFG;2;"Helmand";Province;"HEL";12277
"Afghanistan";AF;AFG;2;"Herāt";Province;"HER";12262
"Afghanistan";AF;AFG;2;"Jowzjān";Province;"JOW";12283
"Afghanistan";AF;AFG;2;"Kandahār";Province;"KAN";12263
"Afghanistan";AF;AFG;2;"Khōst";Province;"KHO";12276
"Afghanistan";AF;AFG;2;"Kunar";Province;"KNR";12284
"Afghanistan";AF;AFG;2;"Kunduz";Province;"KDZ";12256
"Afghanistan";AF;AFG;2;"Kābul";Province;"KAB";12278
"Afghanistan";AF;AFG;2;"Kāpīsā";Province;"KAP";12261
"Afghanistan";AF;AFG;2;"Laghmān";Province;"LAG";12279
"Afghanistan";AF;AFG;2;"Lōgar";Province;"LOW";12260
"Afghanistan";AF;AFG;2;"Nangarhār";Province;"NAN";12280
"Afghanistan";AF;AFG;2;"Nīmrōz";Province;"NIM";12285
"Afghanistan";AF;AFG;2;"Nūristān";Province;"NUR";12281
"Afghanistan";AF;AFG;2;"Paktia";Province;"PIA";12282
"Afghanistan";AF;AFG;2;"Paktika";Province;"PKA";12259
"Afghanistan";AF;AFG;2;"Panjshayr";Province;"PAN";20222
"Afghanistan";AF;AFG;2;"Parwān";Province;"PAR";12257
"Afghanistan";AF;AFG;2;"Samangan";Province;"SAM";12264
"Afghanistan";AF;AFG;2;"Sar-e Pul";Province;"SAR";12258
"Afghanistan";AF;AFG;2;"Takhar";Province;"TAK";12265
"Afghanistan";AF;AFG;2;"Uruzgān";Province;"URU";12255
"Afghanistan";AF;AFG;2;"Uruzgān";Province;"ORU";48898
"Afghanistan";AF;AFG;2;"Wardak";Province;"WAR";12266
"Afghanistan";AF;AFG;2;"Zābul";Province;"ZAB";12254
