COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Armenia";AM;ARM;13;"Aragac?otn";Province;"AG";12466
"Armenia";AM;ARM;13;"Ararat";Province;"AR";12461
"Armenia";AM;ARM;13;"Armavir";Province;"AV";12467
"Armenia";AM;ARM;13;"Erevan";city;"ER";12464
"Armenia";AM;ARM;13;"Gegark'unik'";Province;"GR";12460
"Armenia";AM;ARM;13;"Kotayk'";Province;"KT";12462
"Armenia";AM;ARM;13;"Lo?y";Province;"LO";12465
"Armenia";AM;ARM;13;"Syunik'";Province;"SU";12463
"Armenia";AM;ARM;13;"Tavuš";Province;"TV";12457
"Armenia";AM;ARM;13;"Vayoc Jor";Province;"VD";12458
"Armenia";AM;ARM;13;"Širak";Province;"SH";12459
