COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bangladesh";BD;BGD;22;"Bagerhat";District;"05";12600
"Bangladesh";BD;BGD;22;"Bandarban";District;"01";12601
"Bangladesh";BD;BGD;22;"Barguna";District;"02";12602
"Bangladesh";BD;BGD;22;"Barisal";division;"A";48675
"Bangladesh";BD;BGD;22;"Barisal";District;"06";12612
"Bangladesh";BD;BGD;22;"Barisal";division;"1";48257
"Bangladesh";BD;BGD;22;"Bhola";District;"07";12613
"Bangladesh";BD;BGD;22;"Bogra";District;"03";12614
"Bangladesh";BD;BGD;22;"Brahmanbaria";District;"04";12630
"Bangladesh";BD;BGD;22;"Chandpur";District;"09";12615
"Bangladesh";BD;BGD;22;"Chittagong";division;"2";48258
"Bangladesh";BD;BGD;22;"Chittagong";division;"B";48676
"Bangladesh";BD;BGD;22;"Chittagong";District;"10";12631
"Bangladesh";BD;BGD;22;"Chuadanga";District;"12";12632
"Bangladesh";BD;BGD;22;"Comilla";District;"08";12606
"Bangladesh";BD;BGD;22;"Cox's Bazar";District;"11";12641
"Bangladesh";BD;BGD;22;"Dhaka";District;"13";12616
"Bangladesh";BD;BGD;22;"Dhaka";division;"C";48677
"Bangladesh";BD;BGD;22;"Dhaka";division;"3";48259
"Bangladesh";BD;BGD;22;"Dinajpur";District;"14";12633
"Bangladesh";BD;BGD;22;"Faridpur";District;"15";12617
"Bangladesh";BD;BGD;22;"Feni";District;"16";12618
"Bangladesh";BD;BGD;22;"Gaibandha";District;"19";12634
"Bangladesh";BD;BGD;22;"Gazipur";District;"18";12635
"Bangladesh";BD;BGD;22;"Gopalganj";District;"17";12619
"Bangladesh";BD;BGD;22;"Habiganj";District;"20";12636
"Bangladesh";BD;BGD;22;"Jaipurhat";District;"24";12620
"Bangladesh";BD;BGD;22;"Jamalpur";District;"21";12637
"Bangladesh";BD;BGD;22;"Jessore";District;"22";12603
"Bangladesh";BD;BGD;22;"Jhalakati";District;"25";12638
"Bangladesh";BD;BGD;22;"Jhenaidah";District;"23";12604
"Bangladesh";BD;BGD;22;"Khagrachari";District;"29";12639
"Bangladesh";BD;BGD;22;"Khulna";division;"4";48260
"Bangladesh";BD;BGD;22;"Khulna";division;"D";48678
"Bangladesh";BD;BGD;22;"Khulna";District;"27";12640
"Bangladesh";BD;BGD;22;"Kishoreganj";District;"26";12605
"Bangladesh";BD;BGD;22;"Kurigram";District;"28";12642
"Bangladesh";BD;BGD;22;"Kushtia";District;"30";12607
"Bangladesh";BD;BGD;22;"Lakshmipur";District;"31";12643
"Bangladesh";BD;BGD;22;"Lalmonirhat";District;"32";12608
"Bangladesh";BD;BGD;22;"Madaripur";District;"36";12644
"Bangladesh";BD;BGD;22;"Magura";District;"37";12609
"Bangladesh";BD;BGD;22;"Manikganj";District;"33";12610
"Bangladesh";BD;BGD;22;"Meherpur";District;"39";12611
"Bangladesh";BD;BGD;22;"Moulvibazar";District;"38";12622
"Bangladesh";BD;BGD;22;"Munshiganj";District;"35";12623
"Bangladesh";BD;BGD;22;"Mymensingh";District;"34";12621
"Bangladesh";BD;BGD;22;"Naogaon";District;"48";12626
"Bangladesh";BD;BGD;22;"Narail";District;"43";12624
"Bangladesh";BD;BGD;22;"Narayanganj";District;"40";12599
"Bangladesh";BD;BGD;22;"Narsingdi";District;"42";12625
"Bangladesh";BD;BGD;22;"Natore";District;"44";12653
"Bangladesh";BD;BGD;22;"Nawabganj";District;"45";12598
"Bangladesh";BD;BGD;22;"Netrakona";District;"41";12627
"Bangladesh";BD;BGD;22;"Nilphamari";District;"46";12654
"Bangladesh";BD;BGD;22;"Noakhali";District;"47";12628
"Bangladesh";BD;BGD;22;"Pabna";District;"49";12629
"Bangladesh";BD;BGD;22;"Panchagarh";District;"52";12597
"Bangladesh";BD;BGD;22;"Patuakhali";District;"51";12645
"Bangladesh";BD;BGD;22;"Pirojpur";District;"50";12655
"Bangladesh";BD;BGD;22;"Rajbari";District;"53";12646
"Bangladesh";BD;BGD;22;"Rajshahi";District;"54";12596
"Bangladesh";BD;BGD;22;"Rajshahi";division;"5";48261
"Bangladesh";BD;BGD;22;"Rajshahi";division;"E";48679
"Bangladesh";BD;BGD;22;"Rangamati   Parbattya Chattagram";District;"56";12647
"Bangladesh";BD;BGD;22;"Rangpur";District;"55";12648
"Bangladesh";BD;BGD;22;"Rangpur";division;"F";48681
"Bangladesh";BD;BGD;22;"Satkhira";District;"58";12656
"Bangladesh";BD;BGD;22;"Shariatpur";District;"62";12649
"Bangladesh";BD;BGD;22;"Sherpur";District;"57";12595
"Bangladesh";BD;BGD;22;"Sirajganj";District;"59";12594
"Bangladesh";BD;BGD;22;"Sunamganj";District;"61";12651
"Bangladesh";BD;BGD;22;"Sylhet";division;"6";48262
"Bangladesh";BD;BGD;22;"Sylhet";District;"60";12650
"Bangladesh";BD;BGD;22;"Sylhet";division;"G";48680
"Bangladesh";BD;BGD;22;"Tangail";District;"63";12593
"Bangladesh";BD;BGD;22;"Thakurgaon";District;"64";12652
