COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bermuda";BM;BMU;28;"Devonshire";Parish;"DEV";12708
"Bermuda";BM;BMU;28;"Hamilton";Parish;"HAM";12707
"Bermuda";BM;BMU;28;"Hamilton municipality";Municipality;"HA";12709
"Bermuda";BM;BMU;28;"Paget";Parish;"PAG";12710
"Bermuda";BM;BMU;28;"Pembroke";Parish;"PEM";12711
"Bermuda";BM;BMU;28;"Saint George";Parish;"SGE";12712
"Bermuda";BM;BMU;28;"Saint George municipality";Municipality;"SG";12716
"Bermuda";BM;BMU;28;"Sandys";Parish;"SAN";12713
"Bermuda";BM;BMU;28;"Smiths";Parish;"SMI";12706
"Bermuda";BM;BMU;28;"Southampton";Parish;"SOU";12714
"Bermuda";BM;BMU;28;"Warwick";Parish;"WAR";12715
