COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bahamas";BS;BHS;18;"Acklins  Islands";District;"AK";12567
"Bahamas";BS;BHS;18;"Acklins and Crooked Islands";District;"AC";48139
"Bahamas";BS;BHS;18;"Berry Islands";district;"BY";48140
"Bahamas";BS;BHS;18;"Bimini and Cat Cay";District;"BI";12574
"Bahamas";BS;BHS;18;"Black Point";district;"BP";48141
"Bahamas";BS;BHS;18;"Cat Island";District;"CI";12575
"Bahamas";BS;BHS;18;"Central Abaco";district;"CO";48142
"Bahamas";BS;BHS;18;"Central Andros";district;"CS";48143
"Bahamas";BS;BHS;18;"Central Eleuthera";district;"CE";48144
"Bahamas";BS;BHS;18;"City of Freeport";district;"FP";12566
"Bahamas";BS;BHS;18;"Crooked Island and Long Cay";district;"CK";48146
"Bahamas";BS;BHS;18;"East Grand Bahama";district;"EG";48147
"Bahamas";BS;BHS;18;"Exuma";District;"EX";12578
"Bahamas";BS;BHS;18;"Governor's Harbour";District;"GH";12577
"Bahamas";BS;BHS;18;"Grand Cay";District;"GC";12572
"Bahamas";BS;BHS;18;"Green Turtle Cay";District;"GT";12571
"Bahamas";BS;BHS;18;"Harbour Island";District;"HI";12579
"Bahamas";BS;BHS;18;"High Rock";District;"HR";20112
"Bahamas";BS;BHS;18;"Hope Town";district;"HT";48148
"Bahamas";BS;BHS;18;"Inagua";District;"IN";12565
"Bahamas";BS;BHS;18;"Kemps Bay";District;"KB";20113
"Bahamas";BS;BHS;18;"Long Island";District;"LI";12580
"Bahamas";BS;BHS;18;"Mangrove Cay";district;"MC";48149
"Bahamas";BS;BHS;18;"Marsh Harbour";District;"MH";20114
"Bahamas";BS;BHS;18;"Mayaguana";District;"MG";12564
"Bahamas";BS;BHS;18;"Moore’s Island";district;"MI";48150
"Bahamas";BS;BHS;18;"New Providence";District;"NP";12563
"Bahamas";BS;BHS;18;"Nicholls Town and Berry Islands";District;"NB";12573
"Bahamas";BS;BHS;18;"North Abaco";district;"NO";48151
"Bahamas";BS;BHS;18;"North Andros";district;"NS";48152
"Bahamas";BS;BHS;18;"North Eleuthera";district;"NE";48153
"Bahamas";BS;BHS;18;"Ragged Island";District;"RI";12568
"Bahamas";BS;BHS;18;"Rock Sound";District;"RS";20115
"Bahamas";BS;BHS;18;"Rum Cay";district;"RC";48154
"Bahamas";BS;BHS;18;"San Salvador";district;"SS";48155
"Bahamas";BS;BHS;18;"San Salvador and Rum Cay";District;"SR";12569
"Bahamas";BS;BHS;18;"Sandy Point";District;"SP";20116
"Bahamas";BS;BHS;18;"South Abaco";district;"SO";48156
"Bahamas";BS;BHS;18;"South Andros";district;"SA";48157
"Bahamas";BS;BHS;18;"South Eleuthera";district;"SE";48158
"Bahamas";BS;BHS;18;"Spanish Wells";district;"SW";48159
"Bahamas";BS;BHS;18;"West Grand Bahama";district;"WG";48160
