COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bhutan";BT;BTN;29;"Bumthang";District;"33";12724
"Bhutan";BT;BTN;29;"Chhukha";District;"12";12735
"Bhutan";BT;BTN;29;"Dagana";District;"22";12723
"Bhutan";BT;BTN;29;"Gasa";District;"GA";12733
"Bhutan";BT;BTN;29;"Ha";District;"13";12736
"Bhutan";BT;BTN;29;"Lhuentse";District;"44";12727
"Bhutan";BT;BTN;29;"Monggar";District;"42";12722
"Bhutan";BT;BTN;29;"Paro";District;"11";12729
"Bhutan";BT;BTN;29;"Pemagatshel";District;"43";12728
"Bhutan";BT;BTN;29;"Punakha";District;"23";12719
"Bhutan";BT;BTN;29;"Samdrup Jongkha";District;"45";12730
"Bhutan";BT;BTN;29;"Samtse";District;"14";12718
"Bhutan";BT;BTN;29;"Sarpang";District;"31";12726
"Bhutan";BT;BTN;29;"Thimphu";District;"15";12731
"Bhutan";BT;BTN;29;"Trashi Yangtse";District;"TY";12734
"Bhutan";BT;BTN;29;"Trashigang";District;"41";12721
"Bhutan";BT;BTN;29;"Trongsa";District;"32";12717
"Bhutan";BT;BTN;29;"Tsirang";District;"21";12725
"Bhutan";BT;BTN;29;"Wangdue Phodrang";District;"24";12732
"Bhutan";BT;BTN;29;"Zhemgang";District;"34";12720
