COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Congo; The Democratic Republic Of The";CD;COD;54;"Bandundu";province;"BN";13094
"Congo; The Democratic Republic Of The";CD;COD;54;"Bas-Congo";province;"BC";13088
"Congo; The Democratic Republic Of The";CD;COD;54;"Kasai-Occidental";province;"KW";13092
"Congo; The Democratic Republic Of The";CD;COD;54;"Kasai-Oriental";province;"KE";13090
"Congo; The Democratic Republic Of The";CD;COD;54;"Katanga";province;"KA";13097
"Congo; The Democratic Republic Of The";CD;COD;54;"Kinshasa";city;"KN";13091
"Congo; The Democratic Republic Of The";CD;COD;54;"Maniema";province;"MA";13095
"Congo; The Democratic Republic Of The";CD;COD;54;"Nord-Kivu";province;"NK";13087
"Congo; The Democratic Republic Of The";CD;COD;54;"Orientale";province;"OR";13089
"Congo; The Democratic Republic Of The";CD;COD;54;"Sud-Kivu";province;"SK";13096
"Congo; The Democratic Republic Of The";CD;COD;54;"Équateur";province;"EQ";13093
