COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Congo";CG;COG;53;"Bouenza";Department;"11";13078
"Congo";CG;COG;53;"Brazzaville";Commune;"BZV";13080
"Congo";CG;COG;53;"Cuvette";Department;"8";13077
"Congo";CG;COG;53;"Cuvette-Ouest";Department;"15";13076
"Congo";CG;COG;53;"Kouilou";Department;"5";13081
"Congo";CG;COG;53;"Likouala";Department;"7";13079
"Congo";CG;COG;53;"Lékoumou";Department;"2";13082
"Congo";CG;COG;53;"Niari";Department;"9";13083
"Congo";CG;COG;53;"Plateaux";Department;"14";13086
"Congo";CG;COG;53;"Pool";Department;"12";13084
"Congo";CG;COG;53;"Sangha";Department;"13";13085
