COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Cuba";CU;CUB;59;"Camagüey";province;"09";13152
"Cuba";CU;CUB;59;"Ciego de Ávila";province;"08";13153
"Cuba";CU;CUB;59;"Cienfuegos";province;"06";13154
"Cuba";CU;CUB;59;"Ciudad de La Habana";province;"03";13142
"Cuba";CU;CUB;59;"Granma";province;"12";13155
"Cuba";CU;CUB;59;"Guantánamo";province;"14";13157
"Cuba";CU;CUB;59;"Holguín";province;"11";13156
"Cuba";CU;CUB;59;"Isla de la Juventud";special municipality;"99";13143
"Cuba";CU;CUB;59;"La Habana";province;"02";13159
"Cuba";CU;CUB;59;"Las Tunas";province;"10";13144
"Cuba";CU;CUB;59;"Matanzas";province;"04";13145
"Cuba";CU;CUB;59;"Pinar del Río";province;"01";13160
"Cuba";CU;CUB;59;"Sancti Spíritus";province;"07";13146
"Cuba";CU;CUB;59;"Santiago de Cuba";province;"13";13158
"Cuba";CU;CUB;59;"Villa Clara";province;"05";13147
