COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Cape Verde";CV;CPV;43;"Boa Vista";municipality;"BV";12953
"Cape Verde";CV;CPV;43;"Brava";municipality;"BR";12957
"Cape Verde";CV;CPV;43;"Calheta de São Miguel";;"CS";19405
"Cape Verde";CV;CPV;43;"Ilhas de Barlavento";geographical region;"B";48184
"Cape Verde";CV;CPV;43;"Ilhas de Sotavento";geographical region;"S";48185
"Cape Verde";CV;CPV;43;"Maio";municipality;"MA";12954
"Cape Verde";CV;CPV;43;"Mosteiros";municipality;"MO";19406
"Cape Verde";CV;CPV;43;"Paul";municipality;"PA";19407
"Cape Verde";CV;CPV;43;"Porto Novo";municipality;"PN";19408
"Cape Verde";CV;CPV;43;"Praia";municipality;"PR";19409
"Cape Verde";CV;CPV;43;"Ribeira Brava";municipality;"RB";48244
"Cape Verde";CV;CPV;43;"Ribeira Grande";municipality;"RG";12955
"Cape Verde";CV;CPV;43;"Ribeira Grande de Santiago";municipality;"RS";48245
"Cape Verde";CV;CPV;43;"Sal";municipality;"SL";12956
"Cape Verde";CV;CPV;43;"Santa Catarina";municipality;"CA";19411
"Cape Verde";CV;CPV;43;"Santa Catarina do Fogo";municipality;"CF";48246
"Cape Verde";CV;CPV;43;"Santa Cruz";municipality;"CR";19412
"Cape Verde";CV;CPV;43;"São Domingos";municipality;"SD";19413
"Cape Verde";CV;CPV;43;"São Filipe";municipality;"SF";19414
"Cape Verde";CV;CPV;43;"São Lourenço dos Órgãos";municipality;"SO";48904
"Cape Verde";CV;CPV;43;"São Miguel";municipality;"SM";48247
"Cape Verde";CV;CPV;43;"São Nicolau";;"SN";12949
"Cape Verde";CV;CPV;43;"São Salvador do Mundo";municipality;"SS";48248
"Cape Verde";CV;CPV;43;"São Vicente";municipality;"SV";12950
"Cape Verde";CV;CPV;43;"Tarrafal";municipality;"TA";19415
"Cape Verde";CV;CPV;43;"Tarrafal de São Nicolau";municipality;"TS";48249
