COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Dominica";DM;DMA;64;"Saint Andrew";Parish;"02";13286
"Dominica";DM;DMA;64;"Saint David";Parish;"03";13289
"Dominica";DM;DMA;64;"Saint George";Parish;"04";13293
"Dominica";DM;DMA;64;"Saint John";Parish;"05";13292
"Dominica";DM;DMA;64;"Saint Joseph";Parish;"06";13291
"Dominica";DM;DMA;64;"Saint Luke";Parish;"07";13294
"Dominica";DM;DMA;64;"Saint Mark";Parish;"08";13290
"Dominica";DM;DMA;64;"Saint Patrick";Parish;"09";13285
"Dominica";DM;DMA;64;"Saint Paul";Parish;"10";13287
"Dominica";DM;DMA;64;"Saint Peter";Parish;"11";13288
