COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Egypt";EG;EGY;67;"Ad Daqahliyah";Governorate;"DK";13607
"Egypt";EG;EGY;67;"Al Bahr al Ahmar";Governorate;"BA";13605
"Egypt";EG;EGY;67;"Al Buhayrah";Governorate;"BH";13606
"Egypt";EG;EGY;67;"Al Fayyum";Governorate;"FYM";13608
"Egypt";EG;EGY;67;"Al Gharbiyah";Governorate;"GH";13609
"Egypt";EG;EGY;67;"Al Iskandariyah";Governorate;"ALX";13595
"Egypt";EG;EGY;67;"Al Ismā`īlīyah";Governorate;"IS";13610
"Egypt";EG;EGY;67;"Al Jizah";Governorate;"GZ";13596
"Egypt";EG;EGY;67;"Al Minufiyah";Governorate;"MNF";13612
"Egypt";EG;EGY;67;"Al Minya";Governorate;"MN";13591
"Egypt";EG;EGY;67;"Al Qahirah";Governorate;"C";13598
"Egypt";EG;EGY;67;"Al Qalyubiyah";Governorate;"KB";13613
"Egypt";EG;EGY;67;"Al Wadi al Jadid";Governorate;"WAD";13588
"Egypt";EG;EGY;67;"al-Uqsur";Governorate;"LX";13589
"Egypt";EG;EGY;67;"As Suways";Governorate;"SUZ";13601
"Egypt";EG;EGY;67;"As Sādis min Uktūbar";governorate;"SU";48194
"Egypt";EG;EGY;67;"Ash Sharqiyah";Governorate;"SHR";13600
"Egypt";EG;EGY;67;"Aswan";Governorate;"ASN";13602
"Egypt";EG;EGY;67;"Asyut";Governorate;"AST";13604
"Egypt";EG;EGY;67;"Bani Suwayf";Governorate;"BNS";13603
"Egypt";EG;EGY;67;"Būr Sa`īd";Governorate;"PTS";13593
"Egypt";EG;EGY;67;"Dumyat";Governorate;"DT";13594
"Egypt";EG;EGY;67;"Ḩulwān";governorate;"HU";48195
"Egypt";EG;EGY;67;"Janub Sina'";Governorate;"JS";13611
"Egypt";EG;EGY;67;"Kafr ash Shaykh";Governorate;"KFS";13592
"Egypt";EG;EGY;67;"Matrūh";Governorate;"MT";13597
"Egypt";EG;EGY;67;"Qina";Governorate;"KN";13599
"Egypt";EG;EGY;67;"Shamal Sina'";Governorate;"SIN";13590
"Egypt";EG;EGY;67;"Suhaj";Governorate;"SHG";13614
