COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"United Kingdom";GB;GBR;239;"Aberdeen City";council area (Scotland);"ABE";47989
"United Kingdom";GB;GBR;239;"Aberdeenshire";council area (Scotland);"ABD";47988
"United Kingdom";GB;GBR;239;"Angus";council area (Scotland);"ANS";47987
"United Kingdom";GB;GBR;239;"Antrim";district council area (Northern Ireland);"ANT";48015
"United Kingdom";GB;GBR;239;"Ards";district council area (Northern Ireland);"ARD";48014
"United Kingdom";GB;GBR;239;"Argyll and Bute";council area (Scotland);"AGB";47986
"United Kingdom";GB;GBR;239;"Armagh";district council area (Northern Ireland);"ARM";48013
"United Kingdom";GB;GBR;239;"Ballymena";district council area (Northern Ireland);"BLA";48012
"United Kingdom";GB;GBR;239;"Ballymoney";district council area (Northern Ireland);"BLY";48011
"United Kingdom";GB;GBR;239;"Banbridge";district council area (Northern Ireland);"BNB";48010
"United Kingdom";GB;GBR;239;"Barking and Dagenham";borough;"BDG";19166
"United Kingdom";GB;GBR;239;"Barnet";borough;"BNE";19167
"United Kingdom";GB;GBR;239;"Barnsley";metropolitan district;"BNS";19168
"United Kingdom";GB;GBR;239;"Bath and North East Somerset";unitary authority;"BAS";47935
"United Kingdom";GB;GBR;239;"Bedfordshire";unitary authority;"BDF";47934
"United Kingdom";GB;GBR;239;"Belfast";district council area (Northern Ireland);"BFS";48009
"United Kingdom";GB;GBR;239;"Bexley";borough;"BEX";19172
"United Kingdom";GB;GBR;239;"Birmingham";metropolitan district;"BIR";19173
"United Kingdom";GB;GBR;239;"Blackburn with Darwen";unitary authority;"BBD";47933
"United Kingdom";GB;GBR;239;"Blackpool";unitary authority;"BPL";47932
"United Kingdom";GB;GBR;239;"Blaenau Gwent";unitary authority (Wales);"BGW";47956
"United Kingdom";GB;GBR;239;"Bolton";metropolitan district;"BOL";19177
"United Kingdom";GB;GBR;239;"Bournemouth";unitary authority;"BMH";47931
"United Kingdom";GB;GBR;239;"Bracknell Forest";unitary authority;"BRC";47930
"United Kingdom";GB;GBR;239;"Bradford";metropolitan district;"BRD";19180
"United Kingdom";GB;GBR;239;"Brent";borough;"BEN";19181
"United Kingdom";GB;GBR;239;"Bridgend [Pen-y-bont ar Ogwr GB-POG]";unitary authority (Wales);"BGE";47955
"United Kingdom";GB;GBR;239;"Brighton and Hove";unitary authority;"BNH";47929
"United Kingdom";GB;GBR;239;"Bristol; City of";unitary authority;"BST";47928
"United Kingdom";GB;GBR;239;"Bromley";borough;"BRY";19185
"United Kingdom";GB;GBR;239;"Buckinghamshire";two-tier county;"BKM";47927
"United Kingdom";GB;GBR;239;"Bury";metropolitan district;"BUR";19187
"United Kingdom";GB;GBR;239;"Caerphilly [Caerffili GB-CAF]";unitary authority (Wales);"CAY";47954
"United Kingdom";GB;GBR;239;"Calderdale";metropolitan district;"CLD";19189
"United Kingdom";GB;GBR;239;"Cambridgeshire";two-tier county;"CAM";47926
"United Kingdom";GB;GBR;239;"Camden";borough;"CMD";19191
"United Kingdom";GB;GBR;239;"Cardiff [Caerdydd GB-CRD]";unitary authority (Wales);"CRF";47953
"United Kingdom";GB;GBR;239;"Carmarthenshire [Sir Gaerfyrddin GB-GFY]";unitary authority (Wales);"CMN";47952
"United Kingdom";GB;GBR;239;"Carrickfergus";district council area (Northern Ireland);"CKF";48008
"United Kingdom";GB;GBR;239;"Castlereagh";district council area (Northern Ireland);"CSR";48007
"United Kingdom";GB;GBR;239;"Ceredigion [Sir Ceredigion]";unitary authority (Wales);"CGN";47951
"United Kingdom";GB;GBR;239;"Cheshire";;"CHS";47925
"United Kingdom";GB;GBR;239;"Clackmannanshire";council area (Scotland);"CLK";47985
"United Kingdom";GB;GBR;239;"Coleraine";district council area (Northern Ireland);"CLR";48006
"United Kingdom";GB;GBR;239;"Conwy";unitary authority (Wales);"CWY";47950
"United Kingdom";GB;GBR;239;"Cookstown";district council area (Northern Ireland);"CKT";48005
"United Kingdom";GB;GBR;239;"Cornwall";unitary authority;"CON";47924
"United Kingdom";GB;GBR;239;"Coventry";metropolitan district;"COV";19203
"United Kingdom";GB;GBR;239;"Craigavon";district council area (Northern Ireland);"CGV";48004
"United Kingdom";GB;GBR;239;"Croydon";borough;"CRY";19205
"United Kingdom";GB;GBR;239;"Cumbria";two-tier county;"CMA";47923
"United Kingdom";GB;GBR;239;"Darlington";unitary authority;"DAL";47922
"United Kingdom";GB;GBR;239;"Denbighshire [Sir Ddinbych GB-DDB]";unitary authority (Wales);"DEN";47949
"United Kingdom";GB;GBR;239;"Derby";unitary authority;"DER";47921
"United Kingdom";GB;GBR;239;"Derbyshire";two-tier county;"DBY";47920
"United Kingdom";GB;GBR;239;"Derry";district council area (Northern Ireland);"DRY";47997
"United Kingdom";GB;GBR;239;"Devon";two-tier county;"DEV";47919
"United Kingdom";GB;GBR;239;"Doncaster";metropolitan district;"DNC";19213
"United Kingdom";GB;GBR;239;"Dorset";two-tier county;"DOR";47918
"United Kingdom";GB;GBR;239;"Down";district council area (Northern Ireland);"DOW";48003
"United Kingdom";GB;GBR;239;"Dudley";metropolitan district;"DUD";19216
"United Kingdom";GB;GBR;239;"Dumfries and Galloway";council area (Scotland);"DGY";47984
"United Kingdom";GB;GBR;239;"Dundee City";council area (Scotland);"DND";47983
"United Kingdom";GB;GBR;239;"Dungannon and South Tyrone";district council area (Northern Ireland);"DGN";48002
"United Kingdom";GB;GBR;239;"Durham";unitary authority;"DUR";47917
"United Kingdom";GB;GBR;239;"Ealing";borough;"EAL";19221
"United Kingdom";GB;GBR;239;"East Ayrshire";council area (Scotland);"EAY";47982
"United Kingdom";GB;GBR;239;"East Dunbartonshire";council area (Scotland);"EDU";47981
"United Kingdom";GB;GBR;239;"East Lothian";council area (Scotland);"ELN";47980
"United Kingdom";GB;GBR;239;"East Renfrewshire";council area (Scotland);"ERW";47979
"United Kingdom";GB;GBR;239;"East Riding of Yorkshire";unitary authority;"ERY";47916
"United Kingdom";GB;GBR;239;"East Sussex";two-tier county;"ESX";47915
"United Kingdom";GB;GBR;239;"Edinburgh; City of";council area (Scotland);"EDH";47978
"United Kingdom";GB;GBR;239;"Eilean Siar";council area (Scotland);"ELS";47977
"United Kingdom";GB;GBR;239;"Enfield";borough;"ENF";19230
"United Kingdom";GB;GBR;239;"Essex";two-tier county;"ESS";47914
"United Kingdom";GB;GBR;239;"Falkirk";council area (Scotland);"FAL";47976
"United Kingdom";GB;GBR;239;"Fermanagh";district council area (Northern Ireland);"FER";48001
"United Kingdom";GB;GBR;239;"Fife";council area (Scotland);"FIF";47975
"United Kingdom";GB;GBR;239;"Flintshire [Sir y Fflint GB-FFL]";unitary authority (Wales);"FLN";47948
"United Kingdom";GB;GBR;239;"Gateshead";metropolitan district;"GAT";19236
"United Kingdom";GB;GBR;239;"Glasgow City";council area (Scotland);"GLG";47974
"United Kingdom";GB;GBR;239;"Gloucestershire";two-tier county;"GLS";47913
"United Kingdom";GB;GBR;239;"Greenwich";borough;"GRE";19239
"United Kingdom";GB;GBR;239;"Gwynedd";unitary authority (Wales);"GWN";47947
"United Kingdom";GB;GBR;239;"Hackney";borough;"HCK";19241
"United Kingdom";GB;GBR;239;"Halton";unitary authority;"HAL";47911
"United Kingdom";GB;GBR;239;"Hammersmith and Fulham";borough;"HMF";19243
"United Kingdom";GB;GBR;239;"Hampshire";two-tier county;"HAM";47910
"United Kingdom";GB;GBR;239;"Haringey";borough;"HRY";19245
"United Kingdom";GB;GBR;239;"Harrow";borough;"HRW";19246
"United Kingdom";GB;GBR;239;"Hartlepool";unitary authority;"HPL";47909
"United Kingdom";GB;GBR;239;"Havering";borough;"HAV";19248
"United Kingdom";GB;GBR;239;"Herefordshire; County of";unitary authority;"HEF";47908
"United Kingdom";GB;GBR;239;"Hertfordshire";two-tier county;"HRT";47907
"United Kingdom";GB;GBR;239;"Highland";council area (Scotland);"HLD";47973
"United Kingdom";GB;GBR;239;"Hillingdon";borough;"HIL";19252
"United Kingdom";GB;GBR;239;"Hounslow";borough;"HNS";19253
"United Kingdom";GB;GBR;239;"Inverclyde";council area (Scotland);"IVC";47972
"United Kingdom";GB;GBR;239;"Isle of Anglesey [Sir Ynys Môn GB-YNM]";unitary authority (Wales);"AGY";47957
"United Kingdom";GB;GBR;239;"Isle of Wight";unitary authority;"IOW";47906
"United Kingdom";GB;GBR;239;"Isles of Scilly";;"IOS";19257
"United Kingdom";GB;GBR;239;"Islington";borough;"ISL";19258
"United Kingdom";GB;GBR;239;"Kensington and Chelsea";borough;"KEC";19259
"United Kingdom";GB;GBR;239;"Kent";two-tier county;"KEN";47905
"United Kingdom";GB;GBR;239;"Kingston upon Hull; City of";unitary authority;"KHL";47904
"United Kingdom";GB;GBR;239;"Kingston upon Thames";borough;"KTT";19262
"United Kingdom";GB;GBR;239;"Kirklees";metropolitan district;"KIR";19263
"United Kingdom";GB;GBR;239;"Knowsley";metropolitan district;"KWL";19264
"United Kingdom";GB;GBR;239;"Lambeth";borough;"LBH";19265
"United Kingdom";GB;GBR;239;"Lancashire";two-tier county;"LAN";48070
"United Kingdom";GB;GBR;239;"Larne";district council area (Northern Ireland);"LRN";48000
"United Kingdom";GB;GBR;239;"Leeds";metropolitan district;"LDS";19268
"United Kingdom";GB;GBR;239;"Leicester";unitary authority;"LCE";48069
"United Kingdom";GB;GBR;239;"Leicestershire";two-tier county;"LEC";48068
"United Kingdom";GB;GBR;239;"Lewisham";borough;"LEW";19271
"United Kingdom";GB;GBR;239;"Limavady";district council area (Northern Ireland);"LMV";47999
"United Kingdom";GB;GBR;239;"Lincolnshire";two-tier county;"LIN";48067
"United Kingdom";GB;GBR;239;"Lisburn";district council area (Northern Ireland);"LSB";47998
"United Kingdom";GB;GBR;239;"Liverpool";metropolitan district;"LIV";19275
"United Kingdom";GB;GBR;239;"London; City of";city corporation;"LND";47912
"United Kingdom";GB;GBR;239;"Luton";unitary authority;"LUT";48065
"United Kingdom";GB;GBR;239;"Magherafelt";district council area (Northern Ireland);"MFT";47996
"United Kingdom";GB;GBR;239;"Manchester";metropolitan district;"MAN";48066
"United Kingdom";GB;GBR;239;"Medway";unitary authority;"MDW";48064
"United Kingdom";GB;GBR;239;"Merthyr Tydfil [Merthyr Tudful GB-MTU]";unitary authority (Wales);"MTY";47946
"United Kingdom";GB;GBR;239;"Merton";borough;"MRT";19282
"United Kingdom";GB;GBR;239;"Middlesbrough";unitary authority;"MDB";48062
"United Kingdom";GB;GBR;239;"Midlothian";council area (Scotland);"MLN";47971
"United Kingdom";GB;GBR;239;"Milton Keynes";unitary authority;"MIK";48061
"United Kingdom";GB;GBR;239;"Monmouthshire [Sir Fynwy GB-FYN]";unitary authority (Wales);"MON";47945
