COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Iraq";IQ;IRQ;108;"Al Anbar";Province;"AN";14771
"Iraq";IQ;IRQ;108;"Al Basrah";Province;"BA";14773
"Iraq";IQ;IRQ;108;"Al Muthanná";Province;"MU";14777
"Iraq";IQ;IRQ;108;"Al Qadisiyah";Province;"QA";14766
"Iraq";IQ;IRQ;108;"An Najaf";Province;"NA";14768
"Iraq";IQ;IRQ;108;"Arbil";Province;"AR";14769
"Iraq";IQ;IRQ;108;"As Sulaymaniyah";Province;"SU";14779
"Iraq";IQ;IRQ;108;"At Ta'mim";Province;"TS";14765
"Iraq";IQ;IRQ;108;"Babil";Province;"BB";14772
"Iraq";IQ;IRQ;108;"Baghdad";Province;"BG";14770
"Iraq";IQ;IRQ;108;"Dahuk";Province;"DA";14774
"Iraq";IQ;IRQ;108;"Dhi Qar";Province;"DQ";14781
"Iraq";IQ;IRQ;108;"Diyalá";Province;"DI";14775
"Iraq";IQ;IRQ;108;"Karbala'";Province;"KA";14776
"Iraq";IQ;IRQ;108;"Maysan";Province;"MA";14782
"Iraq";IQ;IRQ;108;"Ninawá";Province;"NI";14778
"Iraq";IQ;IRQ;108;"Salah ad Din";Province;"SD";14767
"Iraq";IQ;IRQ;108;"Wasit";Province;"WA";14780
