COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Iran; Islamic Republic Of";IR;IRN;107;"Ardabil";Province;"03";14748
"Iran; Islamic Republic Of";IR;IRN;107;"Az¯arbayjan-e Gharbi";Province;"02";14756
"Iran; Islamic Republic Of";IR;IRN;107;"Az¯arbayjan-e Sharqi";Province;"01";14749
"Iran; Islamic Republic Of";IR;IRN;107;"Bushehr";Province;"06";14757
"Iran; Islamic Republic Of";IR;IRN;107;"Chahar Mah¸all va Bakhtiari";Province;"08";14750
"Iran; Islamic Republic Of";IR;IRN;107;"Esfahan";Province;"04";14758
"Iran; Islamic Republic Of";IR;IRN;107;"Fars";Province;"14";14751
"Iran; Islamic Republic Of";IR;IRN;107;"Gilan";Province;"19";14759
"Iran; Islamic Republic Of";IR;IRN;107;"Golestan";Province;"27";14760
"Iran; Islamic Republic Of";IR;IRN;107;"Hamadan";Province;"24";14752
"Iran; Islamic Republic Of";IR;IRN;107;"Hormozgan";Province;"23";14761
"Iran; Islamic Republic Of";IR;IRN;107;"Ilam";Province;"05";14753
"Iran; Islamic Republic Of";IR;IRN;107;"Kerman";Province;"15";14762
"Iran; Islamic Republic Of";IR;IRN;107;"Kermanshah";Province;"17";14739
"Iran; Islamic Republic Of";IR;IRN;107;"Khorasan";;"09";14740
"Iran; Islamic Republic Of";IR;IRN;107;"Khorasan-e Janubi";Province;"29";19012
"Iran; Islamic Republic Of";IR;IRN;107;"Khorasan-e Razavi";Province;"30";19013
"Iran; Islamic Republic Of";IR;IRN;107;"Khorasan-e Shemali";Province;"31";19014
"Iran; Islamic Republic Of";IR;IRN;107;"Khuzestan";Province;"10";14741
"Iran; Islamic Republic Of";IR;IRN;107;"Kohkiluyeh va Buyer Ahmad";Province;"18";14742
"Iran; Islamic Republic Of";IR;IRN;107;"Kordestan";Province;"16";14743
"Iran; Islamic Republic Of";IR;IRN;107;"Lorestan";Province;"20";14744
"Iran; Islamic Republic Of";IR;IRN;107;"Markazi";Province;"22";14745
"Iran; Islamic Republic Of";IR;IRN;107;"Mazandaran";Province;"21";14746
"Iran; Islamic Republic Of";IR;IRN;107;"Qazvin";Province;"28";14747
"Iran; Islamic Republic Of";IR;IRN;107;"Qom";Province;"26";14738
"Iran; Islamic Republic Of";IR;IRN;107;"Semnan";Province;"12";14754
"Iran; Islamic Republic Of";IR;IRN;107;"Sistan va Baluchestan";Province;"13";14764
"Iran; Islamic Republic Of";IR;IRN;107;"Tehran";Province;"07";14755
"Iran; Islamic Republic Of";IR;IRN;107;"Yazd";Province;"25";14763
"Iran; Islamic Republic Of";IR;IRN;107;"Zanjan";Province;"11";14737
