COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Jordan";JO;JOR;116;"Al Balqa'";Province;"BA";14979
"Jordan";JO;JOR;116;"Al Karak";Province;"KA";14984
"Jordan";JO;JOR;116;"Al Mafraq";Province;"MA";14981
"Jordan";JO;JOR;116;"Al ‘Aqabah";Province;"AQ";14985
"Jordan";JO;JOR;116;"At Tafilah";Province;"AT";14975
"Jordan";JO;JOR;116;"Az Zarqā'";Province;"AZ";14976
"Jordan";JO;JOR;116;"Irbid";Province;"IR";14986
"Jordan";JO;JOR;116;"Jarash";Province;"JA";14980
"Jordan";JO;JOR;116;"Ma`an";Province;"MN";14977
"Jordan";JO;JOR;116;"Mādabā";Province;"MD";14983
"Jordan";JO;JOR;116;"‘Ajlūn";Province;"AJ";14982
"Jordan";JO;JOR;116;"‘Ammān (Al ‘A̅ şimah)";Province;"AM";14978
