COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Saint Kitts And Nevis";KN;KNA;193;"Christ Church Nichola Town";Parish;"01";17933
"Saint Kitts And Nevis";KN;KNA;193;"Nevis";state;"N";48461
"Saint Kitts And Nevis";KN;KNA;193;"Saint Anne Sandy Point";Parish;"02";17940
"Saint Kitts And Nevis";KN;KNA;193;"Saint George Basseterre";Parish;"03";17934
"Saint Kitts And Nevis";KN;KNA;193;"Saint George Gingerland";Parish;"04";17941
"Saint Kitts And Nevis";KN;KNA;193;"Saint James Windward";Parish;"05";17935
"Saint Kitts And Nevis";KN;KNA;193;"Saint John Capisterre";Parish;"06";17932
"Saint Kitts And Nevis";KN;KNA;193;"Saint John Figtree";Parish;"07";17936
"Saint Kitts And Nevis";KN;KNA;193;"Saint Kitts";state;"K";48460
"Saint Kitts And Nevis";KN;KNA;193;"Saint Mary Cayon";Parish;"08";17942
"Saint Kitts And Nevis";KN;KNA;193;"Saint Paul Capisterre";Parish;"09";17937
"Saint Kitts And Nevis";KN;KNA;193;"Saint Paul Charlestown";Parish;"10";17944
"Saint Kitts And Nevis";KN;KNA;193;"Saint Peter Basseterre";Parish;"11";17938
"Saint Kitts And Nevis";KN;KNA;193;"Saint Thomas Lowland";Parish;"12";17943
"Saint Kitts And Nevis";KN;KNA;193;"Saint Thomas Middle Island";Parish;"13";17939
"Saint Kitts And Nevis";KN;KNA;193;"Trinity Palmetto Point";Parish;"15";17931
