COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Sri Lanka";LK;LKA;213;"Ampāra";district;"52";18178
"Sri Lanka";LK;LKA;213;"Anurādhapura";district;"71";18175
"Sri Lanka";LK;LKA;213;"Badulla";district;"81";18179
"Sri Lanka";LK;LKA;213;"Basnāhira paḷāta";province;"1";48278
"Sri Lanka";LK;LKA;213;"Dakuṇu paḷāta";province;"3";48279
"Sri Lanka";LK;LKA;213;"Gampaha";district;"12";18176
"Sri Lanka";LK;LKA;213;"Gālla";district;"31";18180
"Sri Lanka";LK;LKA;213;"Hambantŏṭa";district;"33";18181
"Sri Lanka";LK;LKA;213;"Kalutara";district;"13";18177
"Sri Lanka";LK;LKA;213;"Kegalla";district;"92";18182
"Sri Lanka";LK;LKA;213;"Kilinŏchchi";district;"42";18168
"Sri Lanka";LK;LKA;213;"Kuruṇægala";district;"61";18186
"Sri Lanka";LK;LKA;213;"Kŏḷamba";district;"11";18183
"Sri Lanka";LK;LKA;213;"Madakalapuva";district;"51";18184
"Sri Lanka";LK;LKA;213;"Madhyama paḷāta";province;"2";48280
"Sri Lanka";LK;LKA;213;"Mahanuvara";district;"21";18167
"Sri Lanka";LK;LKA;213;"Mannārama";district;"43";18185
"Sri Lanka";LK;LKA;213;"Mattiya mākāṇam";province;"5";48281
"Sri Lanka";LK;LKA;213;"Mulativ";district;"45";18163
"Sri Lanka";LK;LKA;213;"Mātale";district;"22";18169
"Sri Lanka";LK;LKA;213;"Mātara";district;"32";18164
"Sri Lanka";LK;LKA;213;"Mŏṇarāgala";district;"82";18170
"Sri Lanka";LK;LKA;213;"Nuvara Ĕliya";district;"23";18171
"Sri Lanka";LK;LKA;213;"Puttalama";district;"62";18172
"Sri Lanka";LK;LKA;213;"Pŏḷŏnnaruva";district;"72";18165
"Sri Lanka";LK;LKA;213;"Ratnapura";district;"91";18166
"Sri Lanka";LK;LKA;213;"Sabaragamuva paḷāta";province;"9";48282
"Sri Lanka";LK;LKA;213;"Trikuṇāmalaya";district;"53";18173
"Sri Lanka";LK;LKA;213;"Uturu paḷāta";province;"4";48284
"Sri Lanka";LK;LKA;213;"Uturumæ̆da paḷāta";province;"7";48283
"Sri Lanka";LK;LKA;213;"Vavuniyāva";district;"44";18162
"Sri Lanka";LK;LKA;213;"Vayamba paḷāta";province;"6";48286
"Sri Lanka";LK;LKA;213;"Yāpanaya";district;"41";18174
"Sri Lanka";LK;LKA;213;"Ūva paḷāta";province;"8";48285
