COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Liberia";LR;LBR;128;"Bomi";County;"BM";15152
"Liberia";LR;LBR;128;"Bong";County;"BG";15148
"Liberia";LR;LBR;128;"Gbarpolu";County;"X1~";19021
"Liberia";LR;LBR;128;"Grand Bassa";County;"GB";15153
"Liberia";LR;LBR;128;"Grand Cape Mount";County;"CM";15156
"Liberia";LR;LBR;128;"Grand Gedeh";County;"GG";15151
"Liberia";LR;LBR;128;"Grand Kru";County;"GK";19023
"Liberia";LR;LBR;128;"Lofa";County;"LO";15154
"Liberia";LR;LBR;128;"Margibi";County;"MG";15158
"Liberia";LR;LBR;128;"Maryland";County;"MY";15150
"Liberia";LR;LBR;128;"Montserrado";County;"MO";15157
"Liberia";LR;LBR;128;"Nimba";County;"NI";15155
"Liberia";LR;LBR;128;"River Gee";County;"X2~";19022
"Liberia";LR;LBR;128;"Rivercess";County;"RI";15149
"Liberia";LR;LBR;128;"Sinoe";County;"SI";15147
