COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Monaco";MC;MCO;149;"Fontvieille";quarter;"FO";48841
"Monaco";MC;MCO;149;"Jardin Exotique";quarter;"JE";48842
"Monaco";MC;MCO;149;"La Colle";quarter;"CL";48843
"Monaco";MC;MCO;149;"La Condamine";quarter;"CO";48840
"Monaco";MC;MCO;149;"La Gare";quarter;"GA";48844
"Monaco";MC;MCO;149;"La Source";quarter;"SO";48845
"Monaco";MC;MCO;149;"Larvotto";quarter;"LA";48846
"Monaco";MC;MCO;149;"Malbousquet";quarter;"MA";48847
"Monaco";MC;MCO;149;"Monaco-Ville";quarter;"MO";48848
"Monaco";MC;MCO;149;"Moneghetti";quarter;"MG";48849
"Monaco";MC;MCO;149;"Monte-Carlo";quarter;"MC";48850
"Monaco";MC;MCO;149;"Moulins";quarter;"MU";48851
"Monaco";MC;MCO;149;"Port-Hercule";quarter;"PH";48852
"Monaco";MC;MCO;149;"Saint-Roman";quarter;"SR";48853
"Monaco";MC;MCO;149;"Sainte-Dévote";quarter;"SD";48854
"Monaco";MC;MCO;149;"Spélugues";quarter;"SP";48855
"Monaco";MC;MCO;149;"Vallon de la Rousse";quarter;"VR";48856
