COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Moldova; Republic of";MD;MDA;148;"Anenii Noi";district;"AN";15471
"Moldova; Republic of";MD;MDA;148;"Basarabeasca";district;"BS";15454
"Moldova; Republic of";MD;MDA;148;"Briceni";district;"BR";15472
"Moldova; Republic of";MD;MDA;148;"Bălţi";city;"BA";15453
"Moldova; Republic of";MD;MDA;148;"Cahul";district;"CA";15455
"Moldova; Republic of";MD;MDA;148;"Cantemir";district;"CT";15458
"Moldova; Republic of";MD;MDA;148;"Chisinau";city;"CU";15459
"Moldova; Republic of";MD;MDA;148;"Chisinau City";city;"CH";20309
"Moldova; Republic of";MD;MDA;148;"Cimişlia";district;"CM";15460
"Moldova; Republic of";MD;MDA;148;"Criuleni";district;"CR";15475
"Moldova; Republic of";MD;MDA;148;"Călăraşi";district;"CL";15473
"Moldova; Republic of";MD;MDA;148;"Căuşeni";district;"CS";15474
"Moldova; Republic of";MD;MDA;148;"Donduşeni";district;"DO";15461
"Moldova; Republic of";MD;MDA;148;"Drochia";district;"DR";15476
"Moldova; Republic of";MD;MDA;148;"Dubăsari";district;"DU";15444
"Moldova; Republic of";MD;MDA;148;"Edinet";district;"ED";15477
"Moldova; Republic of";MD;MDA;148;"Floreşti";district;"FL";15443
"Moldova; Republic of";MD;MDA;148;"Făleşti";district;"FA";15445
"Moldova; Republic of";MD;MDA;148;"Gagauzia; Unitatea teritoriala autonoma (UTAG)";autonomous territorial unit;"GA";15446
"Moldova; Republic of";MD;MDA;148;"Glodeni";district;"GL";15478
"Moldova; Republic of";MD;MDA;148;"Hînceşti";district;"HI";15448
"Moldova; Republic of";MD;MDA;148;"Ialoveni";district;"IA";15442
"Moldova; Republic of";MD;MDA;148;"Leova";district;"LE";15449
"Moldova; Republic of";MD;MDA;148;"Lăpuşina";district;"LA";20171
"Moldova; Republic of";MD;MDA;148;"Nisporeni";district;"NI";15450
"Moldova; Republic of";MD;MDA;148;"Ocniţa";district;"OC";15479
"Moldova; Republic of";MD;MDA;148;"Orhei";district;"OR";15451
"Moldova; Republic of";MD;MDA;148;"Rezina";district;"RE";15441
"Moldova; Republic of";MD;MDA;148;"Rîşcani";district;"RI";15463
"Moldova; Republic of";MD;MDA;148;"Soroca";district;"SO";15466
"Moldova; Republic of";MD;MDA;148;"Străşeni";district;"ST";15467
"Moldova; Republic of";MD;MDA;148;"Stînga Nistrului; unitatea teritoriala din";territorial unit;"SN";20172
"Moldova; Republic of";MD;MDA;148;"Sîngerei";district;"SI";15464
"Moldova; Republic of";MD;MDA;148;"Taraclia";district;"TA";15481
"Moldova; Republic of";MD;MDA;148;"Teleneşti";district;"TE";15468
"Moldova; Republic of";MD;MDA;148;"Tighina";city;"BD";15469
"Moldova; Republic of";MD;MDA;148;"Tighina";district;"TI";48215
"Moldova; Republic of";MD;MDA;148;"Ungheni";district;"UN";15470
"Moldova; Republic of";MD;MDA;148;"Şoldăneşti";district;"SD";15465
"Moldova; Republic of";MD;MDA;148;"Ştefan Vodă";district;"SV";15440
