COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Montenegro";ME;MNE;151;"Andrijevica";Commune;"01";42617
"Montenegro";ME;MNE;151;"Bar";Commune;"02";42616
"Montenegro";ME;MNE;151;"Berane";Commune;"03";42615
"Montenegro";ME;MNE;151;"Bijelo Polje";Commune;"04";42614
"Montenegro";ME;MNE;151;"Budva";Commune;"05";42613
"Montenegro";ME;MNE;151;"Cetinje";Commune;"06";42598
"Montenegro";ME;MNE;151;"Danilovgrad";Commune;"07";42612
"Montenegro";ME;MNE;151;"Herceg-Novi";Commune;"08";42599
"Montenegro";ME;MNE;151;"Kolašin";Commune;"09";42610
"Montenegro";ME;MNE;151;"Kotor";Commune;"10";42609
"Montenegro";ME;MNE;151;"Mojkovac";Commune;"11";42608
"Montenegro";ME;MNE;151;"Nikšic´";Commune;"12";42607
"Montenegro";ME;MNE;151;"Plav";Commune;"13";42606
"Montenegro";ME;MNE;151;"Pljevlja";Commune;"14";42604
"Montenegro";ME;MNE;151;"Plužine";Commune;"15";42605
"Montenegro";ME;MNE;151;"Podgorica";Commune;"16";42603
"Montenegro";ME;MNE;151;"Rožaje";Commune;"17";42602
"Montenegro";ME;MNE;151;"Tivat";Commune;"19";42601
"Montenegro";ME;MNE;151;"Ulcinj";Commune;"20";42600
"Montenegro";ME;MNE;151;"Šavnik";Commune;"18";42597
"Montenegro";ME;MNE;151;"Žabljak";Commune;"21";42611
