COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Marshall Islands";MH;MHL;141;"Ailinglaplap";Municipality;"ALL";15362
"Marshall Islands";MH;MHL;141;"Ailuk";Municipality;"ALK";15347
"Marshall Islands";MH;MHL;141;"Arno";Municipality;"ARN";15348
"Marshall Islands";MH;MHL;141;"Aur";Municipality;"AUR";15363
"Marshall Islands";MH;MHL;141;"Ebon";Municipality;"EBO";15351
"Marshall Islands";MH;MHL;141;"Enewetak";Municipality;"ENI";15365
"Marshall Islands";MH;MHL;141;"Jabat";Municipality;"JAB";48101
"Marshall Islands";MH;MHL;141;"Jaluit";Municipality;"JAL";15353
"Marshall Islands";MH;MHL;141;"Kili";Municipality;"KIL";15367
"Marshall Islands";MH;MHL;141;"Kwajalein";Municipality;"KWA";15355
"Marshall Islands";MH;MHL;141;"Lae";Municipality;"LAE";15368
"Marshall Islands";MH;MHL;141;"Lib";Municipality;"LIB";15356
"Marshall Islands";MH;MHL;141;"Likiep";Municipality;"LIK";15357
"Marshall Islands";MH;MHL;141;"Majuro";Municipality;"MAJ";15345
"Marshall Islands";MH;MHL;141;"Maloelap";Municipality;"MAL";15358
"Marshall Islands";MH;MHL;141;"Mejit";Municipality;"MEJ";15369
"Marshall Islands";MH;MHL;141;"Mili";Municipality;"MIL";15359
"Marshall Islands";MH;MHL;141;"Namdrik";Municipality;"NMK";15360
"Marshall Islands";MH;MHL;141;"Namu";Municipality;"NMU";15344
"Marshall Islands";MH;MHL;141;"Ralik chain";Chain of Islands;"L";48510
"Marshall Islands";MH;MHL;141;"Ratak chain";Chain of Islands;"T";48674
"Marshall Islands";MH;MHL;141;"Rongelap";Municipality;"RON";15361
"Marshall Islands";MH;MHL;141;"Ujae";Municipality;"UJA";15371
"Marshall Islands";MH;MHL;141;"Ujelang";Municipality;"UJL";15342
"Marshall Islands";MH;MHL;141;"Utirik";Municipality;"UTI";15372
"Marshall Islands";MH;MHL;141;"Wotho";Municipality;"WTH";15341
"Marshall Islands";MH;MHL;141;"Wotje";Municipality;"WTJ";15340
