COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Aerodrom";municipality;"01";48906
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Aerodrom *";Municipality;"AD";20121
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Aracinovo";Municipality;"AR";20122
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Aračinovo";municipality;"02";48907
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Berovo";Municipality;"BR";15224
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Berovo";municipality;"03";48908
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bitola";municipality;"04";48909
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bitola";Municipality;"TL";15225
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bogdanci";municipality;"05";48910
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bogdanci";Municipality;"BG";20123
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bogovinje";municipality;"06";48911
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bogovinje";Municipality;"VJ";20124
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bosilovo";Municipality;"BS";20125
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Bosilovo";municipality;"07";48912
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Brvenica";Municipality;"BN";20126
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Brvenica";municipality;"08";48913
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Butel";municipality;"09";48914
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Butel *";Municipality;"BU";20127
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Cair *";Municipality;"CI";20128
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Caška";Municipality;"CA";20129
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Centar";municipality;"77";48915
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Centar *";Municipality;"CE";20130
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Centar Župa";Municipality;"CZ";20131
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Centar Župa";municipality;"78";48916
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Cešinovo-Obleševo";Municipality;"CH";20132
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Cucer Sandevo";Municipality;"CS";20133
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Debar";Municipality;"DB";15227
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Debar";municipality;"21";48921
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Debarca";municipality;"22";48922
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Debarca";Municipality;"DA";20138
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Delcevo";Municipality;"DL";15228
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Delčevo";municipality;"23";48923
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Demir Hisar";municipality;"25";48924
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Demir Hisar";Municipality;"DM";15229
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Demir Kapija";Municipality;"DK";20134
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Demir Kapija";municipality;"24";48925
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Dojran";Municipality;"SD";20135
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Dojran";municipality;"26";48926
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Dolneni";municipality;"27";48927
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Dolneni";Municipality;"DE";20136
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Drugovo";Municipality;"DR";20137
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Drugovo";municipality;"28";48928
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gazi Baba";municipality;"17";48929
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gazi Baba *";Municipality;"GB";20310
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gevgelija";municipality;"18";48930
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gevgelija";Municipality;"GV";15230
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gjorce Petrov *";Municipality;"GP";20311
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gjorče Petrov";municipality;"29";48931
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gostivar";municipality;"19";48932
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gostivar";Municipality;"GT";15233
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gradsko";Municipality;"GR";20312
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Gradsko";municipality;"20";48933
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Ilinden";Municipality;"IL";20313
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Ilinden";municipality;"34";48934
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Jegunovce";Municipality;"JG";20314
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Jegunovce";municipality;"35";48935
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Karbinci";municipality;"37";48936
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Karbinci";Municipality;"KB";20315
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Karpoš";municipality;"38";48937
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Karpoš *";Municipality;"KX";20316
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kavadarci";municipality;"36";48938
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kavadarci";Municipality;"AV";15231
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kicevo";Municipality;"KH";15234
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kisela Voda";municipality;"39";48940
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kisela Voda *";Municipality;"VD";20139
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kičevo";municipality;"40";48939
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kocani";Municipality;"OC";15232
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Konce";Municipality;"KN";20140
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Konče";municipality;"41";48942
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kočani";municipality;"42";48941
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kratovo";municipality;"43";48943
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kratovo";Municipality;"KY";15235
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kriva Palanka";Municipality;"KZ";15249
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kriva Palanka";municipality;"44";48944
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Krivogaštani";municipality;"45";48945
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Krivogaštani";Municipality;"KG";20141
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kruševo";municipality;"46";48946
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kruševo";Municipality;"KS";15236
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kumanovo";municipality;"47";48947
"Macedonia; the Former Yugoslav Republic Of";MK;MKD;134;"Kumanovo";Municipality;"UM";15250
