COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Namibia";NA;NAM;156;"Caprivi";Region;"CA";15625
"Namibia";NA;NAM;156;"Erongo";Region;"ER";15626
"Namibia";NA;NAM;156;"Hardap";Region;"HA";15623
"Namibia";NA;NAM;156;"Karas";Region;"KA";15627
"Namibia";NA;NAM;156;"Khomas";Region;"KH";15624
"Namibia";NA;NAM;156;"Kunene";Region;"KU";15629
"Namibia";NA;NAM;156;"Ohangwena";Region;"OW";15630
"Namibia";NA;NAM;156;"Okavango";Region;"OK";15628
"Namibia";NA;NAM;156;"Omaheke";Region;"OH";15622
"Namibia";NA;NAM;156;"Omusati";Region;"OS";15631
"Namibia";NA;NAM;156;"Oshana";Region;"ON";15632
"Namibia";NA;NAM;156;"Oshikoto";Region;"OT";15621
"Namibia";NA;NAM;156;"Otjozondjupa";Region;"OD";15633
