COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Nicaragua";NI;NIC;163;"Atlántico Norte*";autonomous region;"AN";15779
"Nicaragua";NI;NIC;163;"Atlántico Sur*";autonomous region;"AS";15771
"Nicaragua";NI;NIC;163;"Boaco";department;"BO";15772
"Nicaragua";NI;NIC;163;"Carazo";department;"CA";15766
"Nicaragua";NI;NIC;163;"Chinandega";department;"CI";15770
"Nicaragua";NI;NIC;163;"Chontales";department;"CO";15765
"Nicaragua";NI;NIC;163;"Estelí";department;"ES";15773
"Nicaragua";NI;NIC;163;"Granada";department;"GR";15777
"Nicaragua";NI;NIC;163;"Jinotega";department;"JI";15769
"Nicaragua";NI;NIC;163;"León";department;"LE";15774
"Nicaragua";NI;NIC;163;"Madriz";department;"MD";15778
"Nicaragua";NI;NIC;163;"Managua";department;"MN";15768
"Nicaragua";NI;NIC;163;"Masaya";department;"MS";15764
"Nicaragua";NI;NIC;163;"Matagalpa";department;"MT";15775
"Nicaragua";NI;NIC;163;"Nueva Segovia";department;"NS";15767
"Nicaragua";NI;NIC;163;"Rivas";department;"RI";15776
"Nicaragua";NI;NIC;163;"Río San Juan";department;"SJ";15763
