COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Qatar";QA;QAT;186;"Ad Dawhah";Municipality;"DA";17769
"Qatar";QA;QAT;186;"Al Ghuwayriyah";Municipality;"GH";17770
"Qatar";QA;QAT;186;"Al Jumayliyah";Municipality;"JU";17764
"Qatar";QA;QAT;186;"Al Khawr wa adh Dhakhīrah";Municipality;"KH";17765
"Qatar";QA;QAT;186;"Al Wakrah";Municipality;"WA";17763
"Qatar";QA;QAT;186;"Ar Rayyan";Municipality;"RA";17771
"Qatar";QA;QAT;186;"Az̧ Z̧a‘āyin";Municipality;"ZA";48710
"Qatar";QA;QAT;186;"Jariyan al Batnah";Municipality;"JB";17768
"Qatar";QA;QAT;186;"Madinat ash Shamal";Municipality;"MS";17766
"Qatar";QA;QAT;186;"Umm Sa'id";Municipality;"X1~";17767
"Qatar";QA;QAT;186;"Umm Salal";Municipality;"US";17762
