COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Serbia";RS;SRB;201;"Belgrade";city;"00";47890
"Serbia";RS;SRB;201;"Borski okrug";district;"14";19066
"Serbia";RS;SRB;201;"Braničevski okrug";district;"11";19067
"Serbia";RS;SRB;201;"Jablanički okrug";district;"23";19068
"Serbia";RS;SRB;201;"Južnobanatski okrug";district;"06";19069
"Serbia";RS;SRB;201;"Južnobanatski okrug";district;"04";19070
"Serbia";RS;SRB;201;"Kolubarski okrug";district;"09";19071
"Serbia";RS;SRB;201;"Kosovski okrug";district;"25";18004
"Serbia";RS;SRB;201;"Kosovsko-Mitrovački okrug";district;"28";19074
"Serbia";RS;SRB;201;"Kosovsko-Pomoravski okrug";district;"29";19073
"Serbia";RS;SRB;201;"Mačvanski okrug";district;"08";19075
"Serbia";RS;SRB;201;"Moravički okrug";district;"17";19076
"Serbia";RS;SRB;201;"Nišavski okrug";district;"20";19077
"Serbia";RS;SRB;201;"Pećki okrug";district;"26";19079
"Serbia";RS;SRB;201;"Pirotski okrug";district;"22";19080
"Serbia";RS;SRB;201;"Podunavski okrug";district;"10";19081
"Serbia";RS;SRB;201;"Pomoravski okrug";district;"13";19082
"Serbia";RS;SRB;201;"Prizrenski okrug";district;"27";19083
"Serbia";RS;SRB;201;"Pčinjski okrug";district;"24";19078
"Serbia";RS;SRB;201;"Rasinski okrug";district;"19";19084
"Serbia";RS;SRB;201;"Raška okrug";district;"18";19085
"Serbia";RS;SRB;201;"Severnobanatski okrug";district;"03";19087
"Serbia";RS;SRB;201;"Severnobački okrug";district;"01";19086
"Serbia";RS;SRB;201;"Srednjebanatski okrug";district;"02";19088
"Serbia";RS;SRB;201;"Sremski okrug";district;"07";19089
"Serbia";RS;SRB;201;"Toplièki okrug";district;"21";19091
"Serbia";RS;SRB;201;"Zajeèarski okrug";district;"15";19092
"Serbia";RS;SRB;201;"Zapadnobaèki okrug";district;"05";19093
"Serbia";RS;SRB;201;"Zlatiborski okrug";district;"16";19094
"Serbia";RS;SRB;201;"Šumadijski okrug";district;"12";19090
