COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"South Sudan";SS;SSD;703;"Central Equatoria";states;"EC";48882
"South Sudan";SS;SSD;703;"Eastern Equatoria";states;"EE";48883
"South Sudan";SS;SSD;703;"Jonglei";states;"JG";48884
"South Sudan";SS;SSD;703;"Lakes";states;"LK";48885
"South Sudan";SS;SSD;703;"Northern Bahr el-Ghazal";states;"BN";48886
"South Sudan";SS;SSD;703;"Unity";states;"UY";48887
"South Sudan";SS;SSD;703;"Upper Nile";states;"NU";48888
"South Sudan";SS;SSD;703;"Warrap";states;"WR";48889
"South Sudan";SS;SSD;703;"Western Bahr el-Ghazal";states;"BW";48890
"South Sudan";SS;SSD;703;"Western Equatoria";states;"EW";48891
