COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"El Salvador";SV;SLV;68;"Ahuachapán";Department;"AH";13619
"El Salvador";SV;SLV;68;"Cabañas";Department;"CA";13620
"El Salvador";SV;SLV;68;"Chalatenango";Department;"CH";13618
"El Salvador";SV;SLV;68;"Cuscatlán";Department;"CU";13621
"El Salvador";SV;SLV;68;"La Libertad";Department;"LI";13627
"El Salvador";SV;SLV;68;"La Paz";Department;"PA";13622
"El Salvador";SV;SLV;68;"La Unión";Department;"UN";13623
"El Salvador";SV;SLV;68;"Morazán";Department;"MO";13617
"El Salvador";SV;SLV;68;"San Miguel";Department;"SM";13624
"El Salvador";SV;SLV;68;"San Salvador";Department;"SS";13628
"El Salvador";SV;SLV;68;"San Vicente";Department;"SV";13616
"El Salvador";SV;SLV;68;"Santa Ana";Department;"SA";13625
"El Salvador";SV;SLV;68;"Sonsonate";Department;"SO";13626
"El Salvador";SV;SLV;68;"Usulután";Department;"US";13615
