COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Syrian Arab Republic";SY;SYR;220;"?alab";Province;"HL";18285
"Syrian Arab Republic";SY;SYR;220;"?amah";Province;"HM";18293
"Syrian Arab Republic";SY;SYR;220;"?ims";Province;"HI";18284
"Syrian Arab Republic";SY;SYR;220;"Al ?asakah";Province;"HA";18288
"Syrian Arab Republic";SY;SYR;220;"Al Ladhiqiyah";Province;"LA";18289
"Syrian Arab Republic";SY;SYR;220;"Al Qunaytirah";Province;"QU";18290
"Syrian Arab Republic";SY;SYR;220;"Ar Raqqah";Province;"RA";18282
"Syrian Arab Republic";SY;SYR;220;"As Suwayda'";Province;"SU";18291
"Syrian Arab Republic";SY;SYR;220;"Dar?a";Province;"DR";18286
"Syrian Arab Republic";SY;SYR;220;"Dayr az Zawr";Province;"DY";18292
"Syrian Arab Republic";SY;SYR;220;"Dimashq";Province;"DI";18283
"Syrian Arab Republic";SY;SYR;220;"Idlib";Province;"ID";18294
"Syrian Arab Republic";SY;SYR;220;"Rif Dimashq";Province;"RD";18287
"Syrian Arab Republic";SY;SYR;220;"Tartus";Province;"TA";18281
