COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Chad";TD;TCD;46;"Al Baṭḩah";Region;"BA";12981
"Chad";TD;TCD;46;"Al Buḩayrah";Region;"LC";12985
"Chad";TD;TCD;46;"Baḩr al Ghazāl";region;"BG";48189
"Chad";TD;TCD;46;"Borkou-Ennedi-Tibesti";Region;"BET";12982
"Chad";TD;TCD;46;"Būrkū";region;"BO";48190
"Chad";TD;TCD;46;"Innīdī";region;"EN";48191
"Chad";TD;TCD;46;"Kānim";Region;"KA";12984
"Chad";TD;TCD;46;"Lūqūn al Gharbī";Region;"LO";12986
"Chad";TD;TCD;46;"Lūqūn ash Sharqī";Region;"LR";12987
"Chad";TD;TCD;46;"Madīnat Injamīnā";Region;"ND";19420
"Chad";TD;TCD;46;"Māndūl";Region;"MA";19417
"Chad";TD;TCD;46;"Māyū Kībbī al Gharbī";Region;"MO";19419
"Chad";TD;TCD;46;"Māyū Kībbī ash Sharqī";Region;"ME";19418
"Chad";TD;TCD;46;"Qīrā";Region;"GR";12983
"Chad";TD;TCD;46;"Salāmāt";Region;"SA";12992
"Chad";TD;TCD;46;"Shārī al Awsaṭ";Region;"MC";12991
"Chad";TD;TCD;46;"Shārī Bāqirmī";Region;"CB";12990
"Chad";TD;TCD;46;"Sīlā";region;"SI";48192
"Chad";TD;TCD;46;"Tibastī";region;"TI";48193
"Chad";TD;TCD;46;"Tānjilī";Region;"TA";12980
"Chad";TD;TCD;46;"Waddāy";Region;"OD";12988
"Chad";TD;TCD;46;"Wādī Fīrā";Region;"WF";19421
"Chad";TD;TCD;46;"Ḥajjar Lamīs";Region;"HL";19416
