COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Taiwan; Province Of China";TW;TWN;221;"Changhua";district;"CHA";18312
"Taiwan; Province Of China";TW;TWN;221;"Chiayi";district;"CYQ";18313
"Taiwan; Province Of China";TW;TWN;221;"Chiayi Municipality";municipality;"CYI";18308
"Taiwan; Province Of China";TW;TWN;221;"Hsinchu";district;"HSQ";18310
"Taiwan; Province Of China";TW;TWN;221;"Hsinchu Municipality";municipality;"HSZ";18309
"Taiwan; Province Of China";TW;TWN;221;"Hualien";district;"HUA";18314
"Taiwan; Province Of China";TW;TWN;221;"Ilan";district;"ILA";18311
"Taiwan; Province Of China";TW;TWN;221;"Kaohsiung";district;"KHQ";18315
"Taiwan; Province Of China";TW;TWN;221;"Kaohsiung Special Municipality";special municipality;"KHH";18320
"Taiwan; Province Of China";TW;TWN;221;"Keelung Municipality";municipality;"KEE";18316
"Taiwan; Province Of China";TW;TWN;221;"Miaoli";district;"MIA";18317
"Taiwan; Province Of China";TW;TWN;221;"Nantou";district;"NAN";18323
"Taiwan; Province Of China";TW;TWN;221;"Penghu";district;"PEN";18324
"Taiwan; Province Of China";TW;TWN;221;"Pingtung";district;"PIF";18318
"Taiwan; Province Of China";TW;TWN;221;"Taichung";district;"TXQ";18307
"Taiwan; Province Of China";TW;TWN;221;"Taichung Municipality";municipality;"TXG";18325
"Taiwan; Province Of China";TW;TWN;221;"Tainan";district;"TNQ";18306
"Taiwan; Province Of China";TW;TWN;221;"Tainan Municipality";municipality;"TNN";18319
"Taiwan; Province Of China";TW;TWN;221;"Taipei";district;"TPQ";18305
"Taiwan; Province Of China";TW;TWN;221;"Taipei Special Municipality";special municipality;"TPE";18326
"Taiwan; Province Of China";TW;TWN;221;"Taitung";district;"TTT";18304
"Taiwan; Province Of China";TW;TWN;221;"Taoyuan";district;"TAO";18303
"Taiwan; Province Of China";TW;TWN;221;"Yunlin";district;"YUN";18302
