COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Tanzania; United Republic of";TZ;TZA;223;"Arusha";Region;"01";18349
"Tanzania; United Republic of";TZ;TZA;223;"Dar es Salaam";Region;"02";18350
"Tanzania; United Republic of";TZ;TZA;223;"Dodoma";Region;"03";18351
"Tanzania; United Republic of";TZ;TZA;223;"Iringa";Region;"04";18352
"Tanzania; United Republic of";TZ;TZA;223;"Kagera";Region;"05";18338
"Tanzania; United Republic of";TZ;TZA;223;"Kaskazini Pemba";Region;"06";18333
"Tanzania; United Republic of";TZ;TZA;223;"Kaskazini Unguja";Region;"07";19095
"Tanzania; United Republic of";TZ;TZA;223;"Kigoma";Region;"08";18339
"Tanzania; United Republic of";TZ;TZA;223;"Kilimanjaro";Region;"09";18340
"Tanzania; United Republic of";TZ;TZA;223;"Kusini Pemba";Region;"10";19096
"Tanzania; United Republic of";TZ;TZA;223;"Kusini Unguja";Region;"11";19097
"Tanzania; United Republic of";TZ;TZA;223;"Lindi";Region;"12";18353
"Tanzania; United Republic of";TZ;TZA;223;"Manyara";Region;"26";18341
"Tanzania; United Republic of";TZ;TZA;223;"Mara";Region;"13";18342
"Tanzania; United Republic of";TZ;TZA;223;"Mbeya";Region;"14";18337
"Tanzania; United Republic of";TZ;TZA;223;"Mjini Magharibi";Region;"15";19098
"Tanzania; United Republic of";TZ;TZA;223;"Morogoro";Region;"16";18343
"Tanzania; United Republic of";TZ;TZA;223;"Mtwara";Region;"17";18354
"Tanzania; United Republic of";TZ;TZA;223;"Mwanza";Region;"18";18344
"Tanzania; United Republic of";TZ;TZA;223;"Pwani";Region;"19";18345
"Tanzania; United Republic of";TZ;TZA;223;"Rukwa";Region;"20";18336
"Tanzania; United Republic of";TZ;TZA;223;"Ruvuma";Region;"21";18346
"Tanzania; United Republic of";TZ;TZA;223;"Shinyanga";Region;"22";18347
"Tanzania; United Republic of";TZ;TZA;223;"Singida";Region;"23";18335
"Tanzania; United Republic of";TZ;TZA;223;"Tabora";Region;"24";18348
"Tanzania; United Republic of";TZ;TZA;223;"Tanga";Region;"25";18334
