COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Albania";AL;ALB;4;"Berat";District;"BR";12316
"Albania";AL;ALB;4;"Berat";county;"01";48288
"Albania";AL;ALB;4;"Bulqizë";District;"BU";12309
"Albania";AL;ALB;4;"Delvinë";District;"DL";12310
"Albania";AL;ALB;4;"Devoll";District;"DV";12317
"Albania";AL;ALB;4;"Dibër";District;"DI";12311
"Albania";AL;ALB;4;"Dibër";county;"09";48289
"Albania";AL;ALB;4;"Durrës";county;"02";48290
"Albania";AL;ALB;4;"Durrës";District;"DR";12312
"Albania";AL;ALB;4;"Elbasan";District;"EL";12315
"Albania";AL;ALB;4;"Elbasan";county;"03";48291
"Albania";AL;ALB;4;"Fier";county;"04";48292
"Albania";AL;ALB;4;"Fier";District;"FR";12313
"Albania";AL;ALB;4;"Gjirokastër";District;"GJ";12314
"Albania";AL;ALB;4;"Gjirokastër";county;"05";48293
"Albania";AL;ALB;4;"Gramsh";District;"GR";12318
"Albania";AL;ALB;4;"Has";District;"HA";12300
"Albania";AL;ALB;4;"Kavajë";District;"KA";12301
"Albania";AL;ALB;4;"Kolonjë";District;"ER";12290
"Albania";AL;ALB;4;"Korçë";District;"KO";12302
"Albania";AL;ALB;4;"Korçë";county;"06";48294
"Albania";AL;ALB;4;"Krujë";District;"KR";12303
"Albania";AL;ALB;4;"Kukës";District;"KU";12304
"Albania";AL;ALB;4;"Kukës";county;"07";48295
"Albania";AL;ALB;4;"Kurbin";District;"KB";12305
"Albania";AL;ALB;4;"Kuçovë";District;"KC";12319
"Albania";AL;ALB;4;"Lezhë";District;"LE";12320
"Albania";AL;ALB;4;"Lezhë";county;"08";48296
"Albania";AL;ALB;4;"Librazhd";District;"LB";12306
"Albania";AL;ALB;4;"Lushnjë";District;"LU";12307
"Albania";AL;ALB;4;"Mallakastër";District;"MK";12321
"Albania";AL;ALB;4;"Malësi e Madhe";District;"MM";12308
"Albania";AL;ALB;4;"Mat";District;"MT";12291
"Albania";AL;ALB;4;"Mirditë";District;"MR";12289
"Albania";AL;ALB;4;"Peqin";District;"PQ";12292
"Albania";AL;ALB;4;"Pogradec";District;"PG";12288
"Albania";AL;ALB;4;"Pukë";District;"PU";12294
"Albania";AL;ALB;4;"Përmet";District;"PR";12293
"Albania";AL;ALB;4;"Sarandë";District;"SR";12295
"Albania";AL;ALB;4;"Shkodër";District;"SH";12287
"Albania";AL;ALB;4;"Shkodër";county;"10";48297
"Albania";AL;ALB;4;"Skrapar";District;"SK";12296
"Albania";AL;ALB;4;"Tepelenë";District;"TE";12297
"Albania";AL;ALB;4;"Tiranë";District;"TR";12286
"Albania";AL;ALB;4;"Tiranë";county;"11";48298
"Albania";AL;ALB;4;"Tropojë";District;"TP";12298
"Albania";AL;ALB;4;"Vlorë";county;"12";48299
"Albania";AL;ALB;4;"Vlorë";District;"VL";12299
