COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Angola";AO;AGO;8;"Bengo";Province;"BGO";12390
"Angola";AO;AGO;8;"Benguela";Province;"BGU";12391
"Angola";AO;AGO;8;"Bié";Province;"BIE";12395
"Angola";AO;AGO;8;"Cabinda";Province;"CAB";12392
"Angola";AO;AGO;8;"Cuando-Cubango";Province;"CCU";12394
"Angola";AO;AGO;8;"Cuanza Norte";Province;"CNO";12388
"Angola";AO;AGO;8;"Cuanza Sul";Province;"CUS";12397
"Angola";AO;AGO;8;"Cunene";Province;"CNN";12389
"Angola";AO;AGO;8;"Huambo";Province;"HUA";12393
"Angola";AO;AGO;8;"Huíla";Province;"HUI";12396
"Angola";AO;AGO;8;"Luanda";Province;"LUA";12387
"Angola";AO;AGO;8;"Lunda Norte";Province;"LNO";12398
"Angola";AO;AGO;8;"Lunda Sul";Province;"LSU";12386
"Angola";AO;AGO;8;"Malange";Province;"MAL";12399
"Angola";AO;AGO;8;"Moxico";Province;"MOX";12401
"Angola";AO;AGO;8;"Namibe";Province;"NAM";12402
"Angola";AO;AGO;8;"Uíge";Province;"UIG";12400
"Angola";AO;AGO;8;"Zaire";Province;"ZAI";12385
