COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Azerbaijan";AZ;AZE;17;"Abseron";District;"ABS";12521
"Azerbaijan";AZ;AZE;17;"Agcabädi";District;"AGC";12522
"Azerbaijan";AZ;AZE;17;"Agdam";District;"AGM";12550
"Azerbaijan";AZ;AZE;17;"Agdas";District;"AGS";12523
"Azerbaijan";AZ;AZE;17;"Agstafa";District;"AGA";12493
"Azerbaijan";AZ;AZE;17;"Agsu";District;"AGU";12524
"Azerbaijan";AZ;AZE;17;"Astara";District;"AST";12525
"Azerbaijan";AZ;AZE;17;"Babäk";District;"BAB";12494
"Azerbaijan";AZ;AZE;17;"Baki";municipality;"BA";12526
"Azerbaijan";AZ;AZE;17;"Balakän";District;"BAL";12527
"Azerbaijan";AZ;AZE;17;"Beyläqan";District;"BEY";12528
"Azerbaijan";AZ;AZE;17;"Biläsuvar";District;"BIL";12529
"Azerbaijan";AZ;AZE;17;"Bärdä";District;"BAR";12495
"Azerbaijan";AZ;AZE;17;"Culfa";District;"CUL";12531
"Azerbaijan";AZ;AZE;17;"Cäbrayil";District;"CAB";12496
"Azerbaijan";AZ;AZE;17;"Cälilabab";District;"CAL";12530
"Azerbaijan";AZ;AZE;17;"Daskäsän";District;"DAS";12497
"Azerbaijan";AZ;AZE;17;"Däväçi";District;"DAV";12532
"Azerbaijan";AZ;AZE;17;"Füzuli";District;"FUZ";12533
"Azerbaijan";AZ;AZE;17;"Goranboy";District;"GOR";12512
"Azerbaijan";AZ;AZE;17;"Gädäbäy";District;"GAD";12534
"Azerbaijan";AZ;AZE;17;"Göygöl";District;"GYG";48902
"Azerbaijan";AZ;AZE;17;"Göyçay";District;"GOY";12513
"Azerbaijan";AZ;AZE;17;"Gəncə";municipality;"GA";12499
"Azerbaijan";AZ;AZE;17;"Haciqabul";District;"HAC";12500
"Azerbaijan";AZ;AZE;17;"Imisli";District;"IMI";12514
"Azerbaijan";AZ;AZE;17;"Ismayilli";District;"ISM";12501
"Azerbaijan";AZ;AZE;17;"Kälbäcär";District;"KAL";12515
"Azerbaijan";AZ;AZE;17;"Kürdämir";District;"KUR";12516
"Azerbaijan";AZ;AZE;17;"Kǝngǝrli";District;"KAN";48903
"Azerbaijan";AZ;AZE;17;"Laçin";District;"LAC";12551
"Azerbaijan";AZ;AZE;17;"Lerik";District;"LER";12518
"Azerbaijan";AZ;AZE;17;"Länkäran";District;"LAN";12517
"Azerbaijan";AZ;AZE;17;"Lənkəran";municipality;"LA";20104
"Azerbaijan";AZ;AZE;17;"Masalli";District;"MAS";12552
"Azerbaijan";AZ;AZE;17;"Mingəçevir";municipality;"MI";12519
"Azerbaijan";AZ;AZE;17;"Naftalan";municipality;"NA";12520
"Azerbaijan";AZ;AZE;17;"Naxçivan";autonomous republic;"NX";12553
"Azerbaijan";AZ;AZE;17;"Naxçıvan";municipality;"NV";48899
"Azerbaijan";AZ;AZE;17;"Neftçala";District;"NEF";12535
"Azerbaijan";AZ;AZE;17;"Oguz";District;"OGU";12554
"Azerbaijan";AZ;AZE;17;"Ordubad";District;"ORD";12536
"Azerbaijan";AZ;AZE;17;"Qax";District;"QAX";12537
"Azerbaijan";AZ;AZE;17;"Qazax";District;"QAZ";12555
"Azerbaijan";AZ;AZE;17;"Qobustan";District;"QOB";12539
"Azerbaijan";AZ;AZE;17;"Quba";District;"QBA";12556
"Azerbaijan";AZ;AZE;17;"Qubadli";District;"QBI";12540
"Azerbaijan";AZ;AZE;17;"Qusar";District;"QUS";12541
