COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bosnia and Herzegovina";BA;BIH;31;"Bosansko-podrinjski kanton";canton;"05";48161
"Bosnia and Herzegovina";BA;BIH;31;"Brčko distrikt";District;"BRC";42644
"Bosnia and Herzegovina";BA;BIH;31;"Federacija Bosna i Hercegovina";Entity;"BIH";12746
"Bosnia and Herzegovina";BA;BIH;31;"Hercegova?ko-neretvanski kanton";canton;"07";48162
"Bosnia and Herzegovina";BA;BIH;31;"Kanton br. 10 (Livanjski kanton)";canton;"10";48163
"Bosnia and Herzegovina";BA;BIH;31;"Kanton Sarajevo";canton;"09";48164
"Bosnia and Herzegovina";BA;BIH;31;"Posavski kanton";canton;"02";48165
"Bosnia and Herzegovina";BA;BIH;31;"Republika Srpska";Entity;"SRP";12747
"Bosnia and Herzegovina";BA;BIH;31;"Srednjobosanski kanton";canton;"06";48166
"Bosnia and Herzegovina";BA;BIH;31;"Tuzlanski kanton";canton;"03";48167
"Bosnia and Herzegovina";BA;BIH;31;"Unsko-sanski kanton";canton;"01";48168
"Bosnia and Herzegovina";BA;BIH;31;"Zapadnohercegova?ki kanton";canton;"08";48169
"Bosnia and Herzegovina";BA;BIH;31;"Zeni?ko-dobojski kanton";canton;"04";48170
