COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Barbados";BB;BRB;23;"Christ Church";Parish;"01";12661
"Barbados";BB;BRB;23;"Saint Andrew";Parish;"02";12663
"Barbados";BB;BRB;23;"Saint George";Parish;"03";12662
"Barbados";BB;BRB;23;"Saint James";Parish;"04";12660
"Barbados";BB;BRB;23;"Saint John";Parish;"05";12664
"Barbados";BB;BRB;23;"Saint Joseph";Parish;"06";12659
"Barbados";BB;BRB;23;"Saint Lucy";Parish;"07";12665
"Barbados";BB;BRB;23;"Saint Michael";Parish;"08";12658
"Barbados";BB;BRB;23;"Saint Peter";Parish;"09";12666
"Barbados";BB;BRB;23;"Saint Philip";Parish;"10";12667
"Barbados";BB;BRB;23;"Saint Thomas";Parish;"11";12657
