COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Burkina Faso";BF;BFA;38;"Balé";Province;"BAL";12846
"Burkina Faso";BF;BFA;38;"Bam";Province;"BAM";12855
"Burkina Faso";BF;BFA;38;"Banwa";Province;"BAN";12847
"Burkina Faso";BF;BFA;38;"Bazèga";Province;"BAZ";12856
"Burkina Faso";BF;BFA;38;"Boucle du Mouhoun";region;"01";48171
"Burkina Faso";BF;BFA;38;"Bougouriba";Province;"BGR";12857
"Burkina Faso";BF;BFA;38;"Boulgou";Province;"BLG";12848
"Burkina Faso";BF;BFA;38;"Boulkiemdé";Province;"BLK";12858
"Burkina Faso";BF;BFA;38;"Cascades";region;"02";48172
"Burkina Faso";BF;BFA;38;"Centre";region;"03";48173
"Burkina Faso";BF;BFA;38;"Centre-Est";region;"04";48174
"Burkina Faso";BF;BFA;38;"Centre-Nord";region;"05";48175
"Burkina Faso";BF;BFA;38;"Centre-Ouest";region;"06";48176
"Burkina Faso";BF;BFA;38;"Centre-Sud";region;"07";48177
"Burkina Faso";BF;BFA;38;"Comoé";Province;"COM";12849
"Burkina Faso";BF;BFA;38;"Est";region;"08";48178
"Burkina Faso";BF;BFA;38;"Ganzourgou";Province;"GAN";12859
"Burkina Faso";BF;BFA;38;"Gnagna";Province;"GNA";12860
"Burkina Faso";BF;BFA;38;"Gourma";Province;"GOU";12850
"Burkina Faso";BF;BFA;38;"Hauts-Bassins";region;"09";48179
"Burkina Faso";BF;BFA;38;"Houet";Province;"HOU";12861
"Burkina Faso";BF;BFA;38;"Ioba";Province;"IOB";12851
"Burkina Faso";BF;BFA;38;"Kadiogo";Province;"KAD";12862
"Burkina Faso";BF;BFA;38;"Komondjari";Province;"KMD";12863
"Burkina Faso";BF;BFA;38;"Kompienga";Province;"KMP";12864
"Burkina Faso";BF;BFA;38;"Kossi";Province;"KOS";12853
"Burkina Faso";BF;BFA;38;"Koulpélogo";Province;"KOP";12865
"Burkina Faso";BF;BFA;38;"Kouritenga";Province;"KOT";12854
"Burkina Faso";BF;BFA;38;"Kourwéogo";Province;"KOW";12866
"Burkina Faso";BF;BFA;38;"Kénédougou";Province;"KEN";12852
"Burkina Faso";BF;BFA;38;"Loroum";Province;"LOR";12837
"Burkina Faso";BF;BFA;38;"Léraba";Province;"LER";12867
"Burkina Faso";BF;BFA;38;"Mouhoun";Province;"MOU";12868
"Burkina Faso";BF;BFA;38;"Nahouri";Province;"NAO";12838
"Burkina Faso";BF;BFA;38;"Namentenga";Province;"NAM";12869
"Burkina Faso";BF;BFA;38;"Nayala";Province;"NAY";12870
"Burkina Faso";BF;BFA;38;"Nord";region;"10";48180
"Burkina Faso";BF;BFA;38;"Noumbiel";Province;"NOU";12839
"Burkina Faso";BF;BFA;38;"Oubritenga";Province;"OUB";12871
"Burkina Faso";BF;BFA;38;"Oudalan";Province;"OUD";12840
"Burkina Faso";BF;BFA;38;"Passoré";Province;"PAS";12872
"Burkina Faso";BF;BFA;38;"Plateau-Central";region;"11";48181
"Burkina Faso";BF;BFA;38;"Poni";Province;"PON";12873
"Burkina Faso";BF;BFA;38;"Sahel";region;"12";48182
"Burkina Faso";BF;BFA;38;"Sanguié";Province;"SNG";12841
"Burkina Faso";BF;BFA;38;"Sanmatenga";Province;"SMT";12874
"Burkina Faso";BF;BFA;38;"Sissili";Province;"SIS";12843
"Burkina Faso";BF;BFA;38;"Soum";Province;"SOM";12844
"Burkina Faso";BF;BFA;38;"Sourou";Province;"SOR";12845
"Burkina Faso";BF;BFA;38;"Sud-Ouest";region;"13";48183
"Burkina Faso";BF;BFA;38;"Séno";Province;"SEN";12842
"Burkina Faso";BF;BFA;38;"Tapoa";Province;"TAP";12879
"Burkina Faso";BF;BFA;38;"Tui";Province;"TUI";12880
"Burkina Faso";BF;BFA;38;"Yagha";Province;"YAG";12878
"Burkina Faso";BF;BFA;38;"Yatenga";Province;"YAT";12877
"Burkina Faso";BF;BFA;38;"Ziro";Province;"ZIR";12876
"Burkina Faso";BF;BFA;38;"Zondoma";Province;"ZON";12881
"Burkina Faso";BF;BFA;38;"Zoundwéogo";Province;"ZOU";12882
