COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Burundi";BI;BDI;39;"Bubanza";Province;"BB";12893
"Burundi";BI;BDI;39;"Bujumbura";Province;"BJ";12884
"Burundi";BI;BDI;39;"Bujumbura Mairie";Province;"BM";48128
"Burundi";BI;BDI;39;"Bujumbura Rural";Province;"BL";48129
"Burundi";BI;BDI;39;"Bururi";Province;"BR";12895
"Burundi";BI;BDI;39;"Cankuzo";Province;"CA";12885
"Burundi";BI;BDI;39;"Cibitoke";Province;"CI";12896
"Burundi";BI;BDI;39;"Gitega";Province;"GI";12886
"Burundi";BI;BDI;39;"Karuzi";Province;"KR";12887
"Burundi";BI;BDI;39;"Kayanza";Province;"KY";12894
"Burundi";BI;BDI;39;"Kirundo";Province;"KI";12888
"Burundi";BI;BDI;39;"Makamba";Province;"MA";12889
"Burundi";BI;BDI;39;"Muramvya";Province;"MU";12897
"Burundi";BI;BDI;39;"Muyinga";Province;"MY";12890
"Burundi";BI;BDI;39;"Mwaro";Province;"MW";12898
"Burundi";BI;BDI;39;"Ngozi";Province;"NG";12891
"Burundi";BI;BDI;39;"Rutana";Province;"RT";12892
"Burundi";BI;BDI;39;"Ruyigi";Province;"RY";12883
