COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Benin";BJ;BEN;27;"Alibori";Department;"AL";12696
"Benin";BJ;BEN;27;"Atakora";Department;"AK";12702
"Benin";BJ;BEN;27;"Atlantique";Department;"AQ";12697
"Benin";BJ;BEN;27;"Borgou";Department;"BO";12698
"Benin";BJ;BEN;27;"Collines";Department;"CO";12704
"Benin";BJ;BEN;27;"Donga";Department;"DO";12705
"Benin";BJ;BEN;27;"Kouffo";Department;"KO";12699
"Benin";BJ;BEN;27;"Littoral";Department;"LI";12694
"Benin";BJ;BEN;27;"Mono";Department;"MO";12700
"Benin";BJ;BEN;27;"Ouémé";Department;"OU";12701
"Benin";BJ;BEN;27;"Plateau";Department;"PL";12693
"Benin";BJ;BEN;27;"Zou";Department;"ZO";12692
