COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"The Democratic Republic Of The Congo";CD;COD;54;"Bandundu";province;"BN";13094
"The Democratic Republic Of The Congo";CD;COD;54;"Bas-Congo";province;"BC";13088
"The Democratic Republic Of The Congo";CD;COD;54;"Kasai-Occidental";province;"KW";13092
"The Democratic Republic Of The Congo";CD;COD;54;"Kasai-Oriental";province;"KE";13090
"The Democratic Republic Of The Congo";CD;COD;54;"Katanga";province;"KA";13097
"The Democratic Republic Of The Congo";CD;COD;54;"Kinshasa";city;"KN";13091
"The Democratic Republic Of The Congo";CD;COD;54;"Maniema";province;"MA";13095
"The Democratic Republic Of The Congo";CD;COD;54;"Nord-Kivu";province;"NK";13087
"The Democratic Republic Of The Congo";CD;COD;54;"Orientale";province;"OR";13089
"The Democratic Republic Of The Congo";CD;COD;54;"Sud-Kivu";province;"SK";13096
"The Democratic Republic Of The Congo";CD;COD;54;"Équateur";province;"EQ";13093
