COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Central African Republic";CF;CAF;45;"Bamingui-Bangoran";prefecture;"BB";12972
"Central African Republic";CF;CAF;45;"Bangui";commune;"BGF";12969
"Central African Republic";CF;CAF;45;"Basse-Kotto";prefecture;"BK";12973
"Central African Republic";CF;CAF;45;"Gribingui";economic prefecture;"KB";12965
"Central African Republic";CF;CAF;45;"Haut-Mbomou";prefecture;"HM";12974
"Central African Republic";CF;CAF;45;"Haute-Kotto";prefecture;"HK";12968
"Central African Republic";CF;CAF;45;"Haute-Sangha / Mambéré-Kadéï";prefecture;"HS";12966
"Central African Republic";CF;CAF;45;"Kémo-Gribingui";prefecture;"KG";12967
"Central African Republic";CF;CAF;45;"Lobaye";prefecture;"LB";12975
"Central African Republic";CF;CAF;45;"Mbomou";prefecture;"MB";12976
"Central African Republic";CF;CAF;45;"Nana-Mambéré";prefecture;"NM";12977
"Central African Republic";CF;CAF;45;"Ombella-Mpoko";prefecture;"MP";12964
"Central African Republic";CF;CAF;45;"Ouaka";prefecture;"UK";12979
"Central African Republic";CF;CAF;45;"Ouham";prefecture;"AC";12978
"Central African Republic";CF;CAF;45;"Ouham-Pendé";prefecture;"OP";12970
"Central African Republic";CF;CAF;45;"Sangha";economic prefecture;"SE";12963
"Central African Republic";CF;CAF;45;"Vakaga";prefecture;"VK";12971
