COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Côte D'Ivoire";CI;CIV;57;"18 Montagnes (Région des)";Region;"06";18974
"Côte D'Ivoire";CI;CIV;57;"Agnébi (Région de l')";Region;"16";18975
"Côte D'Ivoire";CI;CIV;57;"Bafing (Région du)";Region;"17";18976
"Côte D'Ivoire";CI;CIV;57;"Bas-Sassandra (Région du)";Region;"09";18977
"Côte D'Ivoire";CI;CIV;57;"Denguélé (Région du)";Region;"10";18978
"Côte D'Ivoire";CI;CIV;57;"Fromager (Région du)";Region;"18";18979
"Côte D'Ivoire";CI;CIV;57;"Haut-Sassandra (Région du)";Region;"02";18980
"Côte D'Ivoire";CI;CIV;57;"Lacs (Région des)";Region;"07";18981
"Côte D'Ivoire";CI;CIV;57;"Lagunes (Région des)";Region;"01";18982
"Côte D'Ivoire";CI;CIV;57;"Marahoué (Région de la)";Region;"12";18983
"Côte D'Ivoire";CI;CIV;57;"Moyen-Cavally (Région du)";Region;"19";18984
"Côte D'Ivoire";CI;CIV;57;"Moyen-Comoé (Région du)";Region;"05";18985
"Côte D'Ivoire";CI;CIV;57;"Nzi-Comoé (Région)";Region;"11";18986
"Côte D'Ivoire";CI;CIV;57;"Savanes (Région des)";Region;"03";18987
"Côte D'Ivoire";CI;CIV;57;"Sud-Bandama (Région du)";Region;"15";18988
"Côte D'Ivoire";CI;CIV;57;"Sud-Comoé (Région du)";Region;"13";18989
"Côte D'Ivoire";CI;CIV;57;"Vallée du Bandama (Région de la)";Region;"04";18990
"Côte D'Ivoire";CI;CIV;57;"Worodougou (Région du)";Region;"14";18991
"Côte D'Ivoire";CI;CIV;57;"Zanzan (Région du)";Region;"08";18992
