COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Czech Republic";CZ;CZE;61;"Benešov";district;"201 ";13247
"Czech Republic";CZ;CZE;61;"Beroun";district;"202 ";13201
"Czech Republic";CZ;CZE;61;"Blansko";district;"621 ";13231
"Czech Republic";CZ;CZE;61;"Brno-město";district;"622 ";13192
"Czech Republic";CZ;CZE;61;"Brno-venkov";district;"623 ";13233
"Czech Republic";CZ;CZE;61;"Bruntál";district;"801 ";13180
"Czech Republic";CZ;CZE;61;"Břeclav";district;"624 ";13232
"Czech Republic";CZ;CZE;61;"Cheb";district;"411 ";13175
"Czech Republic";CZ;CZE;61;"Chomutov";district;"422 ";13173
"Czech Republic";CZ;CZE;61;"Chrudim";district;"531 ";13240
"Czech Republic";CZ;CZE;61;"Domažlice";district;"321 ";13242
"Czech Republic";CZ;CZE;61;"Děčín";district;"421 ";13164
"Czech Republic";CZ;CZE;61;"Frýdek Místek";district;"802 ";13213
"Czech Republic";CZ;CZE;61;"Havlíčkův Brod";district;"611 ";13204
"Czech Republic";CZ;CZE;61;"Hodonín";district;"625 ";13174
"Czech Republic";CZ;CZE;61;"Hradec Králové";district;"521 ";13237
"Czech Republic";CZ;CZE;61;"Jablonec nad Nisou";district;"512 ";13179
"Czech Republic";CZ;CZE;61;"Jeseník";district;"711 ";13216
"Czech Republic";CZ;CZE;61;"Jihlava";district;"612 ";13205
"Czech Republic";CZ;CZE;61;"Jihoceský kraj";Region;"JC";13219
"Czech Republic";CZ;CZE;61;"Jihomoravský kraj";Region;"JM";13220
"Czech Republic";CZ;CZE;61;"Jindřichův Hradec";district;"313 ";13228
"Czech Republic";CZ;CZE;61;"Jičín";district;"522 ";13177
"Czech Republic";CZ;CZE;61;"Karlovarský kraj";Region;"KA";13183
"Czech Republic";CZ;CZE;61;"Karlovy Vary";district;"412 ";13236
"Czech Republic";CZ;CZE;61;"Karviná";district;"803 ";13181
