COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Algeria";DZ;DZA;5;"Adrar";Province;"01";12363
"Algeria";DZ;DZA;5;"Alger";Province;"16";12344
"Algeria";DZ;DZA;5;"Annaba";Province;"23";12332
"Algeria";DZ;DZA;5;"Aïn Defla";Province;"44";12351
"Algeria";DZ;DZA;5;"Aïn Témouchent";Province;"46";12333
"Algeria";DZ;DZA;5;"Batna";Province;"05";12334
"Algeria";DZ;DZA;5;"Biskra";Province;"07";12354
"Algeria";DZ;DZA;5;"Blida";Province;"09";12336
"Algeria";DZ;DZA;5;"Bordj Bou Arréridj";Province;"34";12342
"Algeria";DZ;DZA;5;"Bouira";Province;"10";12341
"Algeria";DZ;DZA;5;"Boumerdès";Province;"35";12337
"Algeria";DZ;DZA;5;"Béchar";Province;"08";12352
"Algeria";DZ;DZA;5;"Béjaïa";Province;"06";12335
"Algeria";DZ;DZA;5;"Chlef";Province;"02";12367
"Algeria";DZ;DZA;5;"Constantine";Province;"25";12348
"Algeria";DZ;DZA;5;"Djelfa";Province;"17";12345
"Algeria";DZ;DZA;5;"El Bayadh";Province;"32";12353
"Algeria";DZ;DZA;5;"El Oued";Province;"39";12323
"Algeria";DZ;DZA;5;"El Tarf";Province;"36";12357
"Algeria";DZ;DZA;5;"Ghardaïa";Province;"47";12343
"Algeria";DZ;DZA;5;"Guelma";Province;"24";12366
"Algeria";DZ;DZA;5;"Illizi";Province;"33";12340
"Algeria";DZ;DZA;5;"Jijel";Province;"18";12330
"Algeria";DZ;DZA;5;"Khenchela";Province;"40";12339
"Algeria";DZ;DZA;5;"Laghouat";Province;"03";12350
"Algeria";DZ;DZA;5;"Mascara";Province;"29";12365
"Algeria";DZ;DZA;5;"Mila";Province;"43";12329
"Algeria";DZ;DZA;5;"Mostaganem";Province;"27";12347
"Algeria";DZ;DZA;5;"Msila";Province;"28";12364
"Algeria";DZ;DZA;5;"Médéa";Province;"26";12346
"Algeria";DZ;DZA;5;"Naama";Province;"45";12328
"Algeria";DZ;DZA;5;"Oran";Province;"31";12362
"Algeria";DZ;DZA;5;"Ouargla";Province;"30";12322
"Algeria";DZ;DZA;5;"Oum el Bouaghi";Province;"04";12361
"Algeria";DZ;DZA;5;"Relizane";Province;"48";12338
"Algeria";DZ;DZA;5;"Saïda";Province;"20";12327
"Algeria";DZ;DZA;5;"Sidi Bel Abbès";Province;"22";12326
"Algeria";DZ;DZA;5;"Skikda";Province;"21";12349
"Algeria";DZ;DZA;5;"Souk Ahras";Province;"41";12356
"Algeria";DZ;DZA;5;"Sétif";Province;"19";12355
"Algeria";DZ;DZA;5;"Tamanghasset";Province;"11";12368
"Algeria";DZ;DZA;5;"Tiaret";Province;"14";12360
"Algeria";DZ;DZA;5;"Tindouf";Province;"37";12359
"Algeria";DZ;DZA;5;"Tipaza";Province;"42";12369
"Algeria";DZ;DZA;5;"Tissemsilt";Province;"38";12325
"Algeria";DZ;DZA;5;"Tizi Ouzou";Province;"15";12324
"Algeria";DZ;DZA;5;"Tlemcen";Province;"13";12370
"Algeria";DZ;DZA;5;"Tébessa";Province;"12";12358
