COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Guinea";GN;GIN;95;"Beyla";Perfecture;"BE";14565
"Guinea";GN;GIN;95;"Boffa";Perfecture;"BF";14566
"Guinea";GN;GIN;95;"Boké";governorates;"B";48437
"Guinea";GN;GIN;95;"Boké";Perfecture;"BK";14567
"Guinea";GN;GIN;95;"Conakry";special zone.;"C";14568
"Guinea";GN;GIN;95;"Coyah";Perfecture;"CO";14569
"Guinea";GN;GIN;95;"Dabola";Perfecture;"DB";14575
"Guinea";GN;GIN;95;"Dalaba";Perfecture;"DL";14570
"Guinea";GN;GIN;95;"Dinguiraye";Perfecture;"DI";14576
"Guinea";GN;GIN;95;"Dubréka";Perfecture;"DU";14573
"Guinea";GN;GIN;95;"Faranah";Perfecture;"FA";14577
"Guinea";GN;GIN;95;"faranah";governorates;"F";48438
"Guinea";GN;GIN;95;"Forécariah";Perfecture;"FO";14571
"Guinea";GN;GIN;95;"Fria";Perfecture;"FR";14578
"Guinea";GN;GIN;95;"Gaoual";Perfecture;"GA";14572
"Guinea";GN;GIN;95;"Guékédou";Perfecture;"GU";14579
"Guinea";GN;GIN;95;"Kankan";governorates;"K";48439
"Guinea";GN;GIN;95;"Kankan";Perfecture;"KA";14580
"Guinea";GN;GIN;95;"Kindia";Perfecture;"KD";14581
"Guinea";GN;GIN;95;"Kindia";governorates;"D";48440
"Guinea";GN;GIN;95;"Kissidougou";Perfecture;"KS";14592
"Guinea";GN;GIN;95;"Koubia";Perfecture;"KB";14582
"Guinea";GN;GIN;95;"Koundara";Perfecture;"KN";14583
"Guinea";GN;GIN;95;"Kouroussa";Perfecture;"KO";14560
"Guinea";GN;GIN;95;"Kérouané";Perfecture;"KE";14561
"Guinea";GN;GIN;95;"Labé";governorates;"L";48441
"Guinea";GN;GIN;95;"Labé";Perfecture;"LA";14584
"Guinea";GN;GIN;95;"Lola";Perfecture;"LO";14585
"Guinea";GN;GIN;95;"Lélouma";Perfecture;"LE";14593
"Guinea";GN;GIN;95;"Macenta";Perfecture;"MC";14586
"Guinea";GN;GIN;95;"Mali";Perfecture;"ML";14559
"Guinea";GN;GIN;95;"Mamou";Perfecture;"MM";14587
"Guinea";GN;GIN;95;"Mamou";governorates;"M";48442
"Guinea";GN;GIN;95;"Mandiana";Perfecture;"MD";14558
"Guinea";GN;GIN;95;"Nzérékoré";governorates;"N";48443
"Guinea";GN;GIN;95;"Nzérékoré";Perfecture;"NZ";14588
"Guinea";GN;GIN;95;"Pita";Perfecture;"PI";14557
"Guinea";GN;GIN;95;"Siguiri";Perfecture;"SI";14589
"Guinea";GN;GIN;95;"Tougué";Perfecture;"TO";14556
"Guinea";GN;GIN;95;"Télimélé";Perfecture;"TE";14590
"Guinea";GN;GIN;95;"Yomou";Perfecture;"YO";14591
