COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Greece";GR;GRC;88;"Achaïa";department;"13";14414
"Greece";GR;GRC;88;"Agio Oros";self-governed part;"69";14417
"Greece";GR;GRC;88;"Aitolia kai Akarnania";department;"01";14423
"Greece";GR;GRC;88;"Anatoliki Makedonia kai Thraki";administrative regions;"A";48444
"Greece";GR;GRC;88;"Argolida";department;"11";14415
"Greece";GR;GRC;88;"Arkadia";department;"12";14424
"Greece";GR;GRC;88;"Arta";department;"31";14425
"Greece";GR;GRC;88;"Attiki";administrative regions;"I";48445
"Greece";GR;GRC;88;"Attiki";department;"A1";14416
"Greece";GR;GRC;88;"Chalkidiki";department;"64";14421
"Greece";GR;GRC;88;"Chania";department;"94";14432
"Greece";GR;GRC;88;"Chios";department;"85";14422
"Greece";GR;GRC;88;"Dodekanisos";department;"81";14426
"Greece";GR;GRC;88;"Drama";department;"52";14427
"Greece";GR;GRC;88;"Dytiki Ellada";administrative regions;"G";48446
"Greece";GR;GRC;88;"Dytiki Makedonia";administrative regions;"C";48447
"Greece";GR;GRC;88;"Evros";department;"71";14428
"Greece";GR;GRC;88;"Evrytania";department;"05";14418
"Greece";GR;GRC;88;"Evvoia";department;"04";14419
"Greece";GR;GRC;88;"Florina";department;"63";14429
"Greece";GR;GRC;88;"Fokida";department;"07";14430
"Greece";GR;GRC;88;"Fthiotida";department;"06";14420
"Greece";GR;GRC;88;"Grevena";department;"51";14431
"Greece";GR;GRC;88;"Ileia";department;"14";14433
"Greece";GR;GRC;88;"Imathia";department;"53";14450
"Greece";GR;GRC;88;"Ioannina";department;"33";14451
"Greece";GR;GRC;88;"Ionia Nisia";administrative regions;"F";48448
"Greece";GR;GRC;88;"Ipeiros";administrative regions;"D";48449
"Greece";GR;GRC;88;"Irakleio";department;"91";14434
"Greece";GR;GRC;88;"Karditsa";department;"41";14435
"Greece";GR;GRC;88;"Kastoria";department;"56";14452
"Greece";GR;GRC;88;"Kavala";department;"55";14436
"Greece";GR;GRC;88;"Kefallonia";department;"23";14453
"Greece";GR;GRC;88;"Kentriki Makedonia";administrative regions;"B";48450
"Greece";GR;GRC;88;"Kerkyra";department;"22";14454
"Greece";GR;GRC;88;"Kilkis";department;"57";14455
"Greece";GR;GRC;88;"Korinthia";department;"15";14438
"Greece";GR;GRC;88;"Kozani";department;"58";14456
"Greece";GR;GRC;88;"Kriti";administrative regions;"M";48451
"Greece";GR;GRC;88;"Kyklades";department;"82";14437
"Greece";GR;GRC;88;"Lakonia";department;"16";14439
"Greece";GR;GRC;88;"Larisa";department;"42";14457
"Greece";GR;GRC;88;"Lasithi";department;"92";14440
"Greece";GR;GRC;88;"Lefkada";department;"24";14441
"Greece";GR;GRC;88;"Lesvos";department;"83";14413
"Greece";GR;GRC;88;"Magnisia";department;"43";14458
"Greece";GR;GRC;88;"Messinia";department;"17";14442
"Greece";GR;GRC;88;"Notio Aigaio";administrative regions;"L";48452
"Greece";GR;GRC;88;"Pella";department;"59";14443
"Greece";GR;GRC;88;"Peloponnisos";administrative regions;"J";48453
"Greece";GR;GRC;88;"Pieria";department;"61";14412
"Greece";GR;GRC;88;"Preveza";department;"34";14444
"Greece";GR;GRC;88;"Rethymno";department;"93";14459
"Greece";GR;GRC;88;"Rodopi";department;"73";14445
"Greece";GR;GRC;88;"Samos";department;"84";14411
"Greece";GR;GRC;88;"Serres";department;"62";14446
"Greece";GR;GRC;88;"Sterea Ellada";administrative regions;"H";48454
"Greece";GR;GRC;88;"Thesprotia";department;"32";14410
"Greece";GR;GRC;88;"Thessalia";administrative regions;"E";48455
"Greece";GR;GRC;88;"Thessaloniki";department;"54";14447
"Greece";GR;GRC;88;"Trikala";department;"44";14409
"Greece";GR;GRC;88;"Voiotia";department;"03";14448
"Greece";GR;GRC;88;"Voreio Aigaio";administrative regions;"K";48456
"Greece";GR;GRC;88;"Xanthi";department;"72";14408
"Greece";GR;GRC;88;"Zakynthos";department;"21";14449
