COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Guatemala";GT;GTM;93;"Alta Verapaz";Department;"AV";14531
"Guatemala";GT;GTM;93;"Baja Verapaz";Department;"BV";14526
"Guatemala";GT;GTM;93;"Chimaltenango";Department;"CM";14532
"Guatemala";GT;GTM;93;"Chiquimula";Department;"CQ";14527
"Guatemala";GT;GTM;93;"El Progreso";Department;"PR";14533
"Guatemala";GT;GTM;93;"Escuintla";Department;"ES";14528
"Guatemala";GT;GTM;93;"Guatemala";Department;"GU";14529
"Guatemala";GT;GTM;93;"Huehuetenango";Department;"HU";14534
"Guatemala";GT;GTM;93;"Izabal";Department;"IZ";14535
"Guatemala";GT;GTM;93;"Jalapa";Department;"JA";14536
"Guatemala";GT;GTM;93;"Jutiapa";Department;"JU";14537
"Guatemala";GT;GTM;93;"Petén";Department;"PE";14538
"Guatemala";GT;GTM;93;"Quetzaltenango";Department;"QZ";14525
"Guatemala";GT;GTM;93;"Quiché";Department;"QC";14539
"Guatemala";GT;GTM;93;"Retalhuleu";Department;"RE";14524
"Guatemala";GT;GTM;93;"Sacatepéquez";Department;"SA";14540
"Guatemala";GT;GTM;93;"San Marcos";Department;"SM";14523
"Guatemala";GT;GTM;93;"Santa Rosa";Department;"SR";14541
"Guatemala";GT;GTM;93;"Sololá";Department;"SO";14522
"Guatemala";GT;GTM;93;"Suchitepéquez";Department;"SU";14542
"Guatemala";GT;GTM;93;"Totonicapán";Department;"TO";14521
"Guatemala";GT;GTM;93;"Zacapa";Department;"ZA";14530
