COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Croatia";HR;HRV;58;"Bjelovarsko-bilogorska županija";county;"07";13135
"Croatia";HR;HRV;58;"Brodsko-posavska županija";county;"12";13130
"Croatia";HR;HRV;58;"Dubrovacko-neretvanska županija";county;"19";13122
"Croatia";HR;HRV;58;"Grad Zagreb";city;"21";13123
"Croatia";HR;HRV;58;"Istarska županija";county;"18";13121
"Croatia";HR;HRV;58;"Karlovacka županija";county;"04";13124
"Croatia";HR;HRV;58;"Koprivnicko-križevacka županija";county;"06";13136
"Croatia";HR;HRV;58;"Krapinsko-zagorska županija";county;"02";13125
"Croatia";HR;HRV;58;"Licko-senjska županija";county;"09";13126
"Croatia";HR;HRV;58;"Medimurska županija";county;"20";13140
"Croatia";HR;HRV;58;"Osjecko-baranjska županija";county;"14";13127
"Croatia";HR;HRV;58;"Požeško-slavonska županija";county;"11";13139
"Croatia";HR;HRV;58;"Primorsko-goranska županija";county;"08";13128
"Croatia";HR;HRV;58;"Sisacko-moslavacka županija";county;"03";13138
"Croatia";HR;HRV;58;"Splitsko-dalmatinska županija";county;"17";13137
"Croatia";HR;HRV;58;"Varaždinska županija";county;"05";13131
"Croatia";HR;HRV;58;"Viroviticko-podravska županija";county;"10";13132
"Croatia";HR;HRV;58;"Vukovarsko-srijemska županija";county;"16";13120
"Croatia";HR;HRV;58;"Zadarska županija";county;"13";13133
"Croatia";HR;HRV;58;"Zagrebacka županija";county;"01";13134
"Croatia";HR;HRV;58;"Šibensko-kninska županija";county;"15";13129
