COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Haiti";HT;HTI;98;"Artibonite";Department;"AR";14621
"Haiti";HT;HTI;98;"Centre";Department;"CE";14617
"Haiti";HT;HTI;98;"Grande-Anse";Department;"GA";14620
"Haiti";HT;HTI;98;"Nippes";Department;"NI";48705
"Haiti";HT;HTI;98;"Nord";Department;"ND";14616
"Haiti";HT;HTI;98;"Nord-Est";Department;"NE";14618
"Haiti";HT;HTI;98;"Nord-Ouest";Department;"NO";14614
"Haiti";HT;HTI;98;"Ouest";Department;"OU";14615
"Haiti";HT;HTI;98;"Sud";Department;"SD";14613
"Haiti";HT;HTI;98;"Sud-Est";Department;"SE";14619
