COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Indonesia";ID;IDN;106;"Aceh";autonomous province;"AC";14720
"Indonesia";ID;IDN;106;"Bali";province;"BA";14719
"Indonesia";ID;IDN;106;"Bangka Belitung";province;"BB";14721
"Indonesia";ID;IDN;106;"Banten";province;"BT";14723
"Indonesia";ID;IDN;106;"Bengkulu";province;"BE";14722
"Indonesia";ID;IDN;106;"Gorontalo";province;"GO";14711
"Indonesia";ID;IDN;106;"Jakarta Raya";special district;"JK";14724
"Indonesia";ID;IDN;106;"Jambi";province;"JA";14712
"Indonesia";ID;IDN;106;"Jawa";geographic units;"JW";48462
"Indonesia";ID;IDN;106;"Jawa Barat";province;"JB";14725
"Indonesia";ID;IDN;106;"Jawa Tengah";province;"JT";14713
"Indonesia";ID;IDN;106;"Jawa Timur";province;"JI";14726
"Indonesia";ID;IDN;106;"Kalimantan";geographic units;"KA";48463
"Indonesia";ID;IDN;106;"Kalimantan Barat";province;"KB";14714
"Indonesia";ID;IDN;106;"Kalimantan Selatan";province;"KS";14715
"Indonesia";ID;IDN;106;"Kalimantan Tengah";province;"KT";14727
"Indonesia";ID;IDN;106;"Kalimantan Timur";province;"KI";14728
"Indonesia";ID;IDN;106;"Kepulauan Riau";province;"KR";14733
"Indonesia";ID;IDN;106;"Lampung";province;"LA";14729
"Indonesia";ID;IDN;106;"Maluku";geographic units;"ML";48905
"Indonesia";ID;IDN;106;"Maluku";province;"MA";14730
"Indonesia";ID;IDN;106;"Maluku Utara";province;"MU";14710
"Indonesia";ID;IDN;106;"Nusa Tenggara";geographic units;"NU";48465
"Indonesia";ID;IDN;106;"Nusa Tenggara Barat";province;"NB";14731
"Indonesia";ID;IDN;106;"Nusa Tenggara Timur";province;"NT";14709
"Indonesia";ID;IDN;106;"Papua";province;"PA";14732
"Indonesia";ID;IDN;106;"Papua";geographic units;"IJ";48466
"Indonesia";ID;IDN;106;"Papua Barat";;"X1~";48084
"Indonesia";ID;IDN;106;"Papua Barat";province;"PB";19010
"Indonesia";ID;IDN;106;"Riau";province;"RI";14708
"Indonesia";ID;IDN;106;"Sulawesi";geographic units;"SL";48467
"Indonesia";ID;IDN;106;"Sulawesi Barat";province;"SR";19011
"Indonesia";ID;IDN;106;"Sulawesi Selatan";province;"SN";14707
"Indonesia";ID;IDN;106;"Sulawesi Tengah";province;"ST";14734
"Indonesia";ID;IDN;106;"Sulawesi Tenggara";province;"SG";14736
"Indonesia";ID;IDN;106;"Sulawesi Utara";province;"SA";14716
"Indonesia";ID;IDN;106;"Sumatera";geographic units;"SM";48468
"Indonesia";ID;IDN;106;"Sumatera Barat";province;"SB";14735
"Indonesia";ID;IDN;106;"Sumatera Selatan";province;"SS";14717
"Indonesia";ID;IDN;106;"Sumatera Utara";province;"SU";14706
"Indonesia";ID;IDN;106;"Yogyakarta";special region;"YO";14718
