COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Japan";JP;JPN;114;"Aiti [Aichi]";Perfecture;"23";14931
"Japan";JP;JPN;114;"Akita";Perfecture;"05";14954
"Japan";JP;JPN;114;"Aomori";Perfecture;"02";14932
"Japan";JP;JPN;114;"Ehime";Perfecture;"38";14955
"Japan";JP;JPN;114;"Gihu [Gifu]";Perfecture;"21";14936
"Japan";JP;JPN;114;"Gunma";Perfecture;"10";14937
"Japan";JP;JPN;114;"Hirosima [Hiroshima]";Perfecture;"34";14938
"Japan";JP;JPN;114;"Hokkaidô [Hokkaido]";Territory;"01";14957
"Japan";JP;JPN;114;"Hukui [Fukui]";Perfecture;"18";14934
"Japan";JP;JPN;114;"Hukuoka [Fukuoka]";Perfecture;"40";14935
"Japan";JP;JPN;114;"Hukusima [Fukushima]";Perfecture;"07";14956
"Japan";JP;JPN;114;"Hyôgo [Hyogo]";Perfecture;"28";14939
"Japan";JP;JPN;114;"Ibaraki";Perfecture;"08";14958
"Japan";JP;JPN;114;"Isikawa [Ishikawa]";Perfecture;"17";14940
"Japan";JP;JPN;114;"Iwate";Perfecture;"03";14941
"Japan";JP;JPN;114;"Kagawa";Perfecture;"37";14942
"Japan";JP;JPN;114;"Kagosima [Kagoshima]";Perfecture;"46";14959
"Japan";JP;JPN;114;"Kanagawa";Perfecture;"14";14943
"Japan";JP;JPN;114;"Kumamoto";Perfecture;"43";14960
"Japan";JP;JPN;114;"Kyôto [Kyoto]";Urban Perfecture;"26";14945
"Japan";JP;JPN;114;"Kôti [Kochi]";Perfecture;"39";14944
"Japan";JP;JPN;114;"Mie";Perfecture;"24";14946
"Japan";JP;JPN;114;"Miyagi";Perfecture;"04";14921
"Japan";JP;JPN;114;"Miyazaki";Perfecture;"45";14947
"Japan";JP;JPN;114;"Nagano";Perfecture;"20";14948
"Japan";JP;JPN;114;"Nagasaki";Perfecture;"42";14961
"Japan";JP;JPN;114;"Nara";Perfecture;"29";14949
"Japan";JP;JPN;114;"Niigata";Perfecture;"15";14950
"Japan";JP;JPN;114;"Okayama";Perfecture;"33";14951
"Japan";JP;JPN;114;"Okinawa";Perfecture;"47";14952
"Japan";JP;JPN;114;"Saga";Perfecture;"41";14953
"Japan";JP;JPN;114;"Saitama";Perfecture;"11";14922
"Japan";JP;JPN;114;"Siga [Shiga]";Perfecture;"25";14919
"Japan";JP;JPN;114;"Simane [Shimane]";Perfecture;"32";14923
"Japan";JP;JPN;114;"Sizuoka [Shizuoka]";Perfecture;"22";14924
"Japan";JP;JPN;114;"Tiba [Chiba]";Perfecture;"12";14933
"Japan";JP;JPN;114;"Tokusima [Tokushima]";Perfecture;"36";14925
"Japan";JP;JPN;114;"Totigi [Tochigi]";Perfecture;"09";14918
"Japan";JP;JPN;114;"Tottori";Perfecture;"31";14917
"Japan";JP;JPN;114;"Toyama";Perfecture;"16";14927
"Japan";JP;JPN;114;"Tôkyô [Tokyo]";Metropolis;"13";14926
"Japan";JP;JPN;114;"Wakayama";Perfecture;"30";14928
"Japan";JP;JPN;114;"Yamagata";Perfecture;"06";14916
"Japan";JP;JPN;114;"Yamaguti [Yamaguchi]";Perfecture;"35";14929
"Japan";JP;JPN;114;"Yamanasi [Yamanashi]";Perfecture;"19";14930
"Japan";JP;JPN;114;"Ôita [Oita]";Perfecture;"44";14920
"Japan";JP;JPN;114;"Ôsaka [Osaka]";Urban Perfecture;"27";14962
