COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Cambodia";KH;KHM;40;"Baat Dambang [Batdâmbâng]";province;"2";12918
"Cambodia";KH;KHM;40;"Banteay Mean Chey [Bântéay Méanchey]";province;"1";12911
"Cambodia";KH;KHM;40;"Kampong Chaam [Kâmpóng Cham]";province;"3";12912
"Cambodia";KH;KHM;40;"Kampong Chhnang [Kâmpóng Chhnang]";province;"4";12919
"Cambodia";KH;KHM;40;"Kampong Spueu [Kâmpóng Spœ]";province;"5";12920
"Cambodia";KH;KHM;40;"Kampong Thum [Kâmpóng Thum]";province;"6";12902
"Cambodia";KH;KHM;40;"Kampot [Kâmpôt]";province;"7";12903
"Cambodia";KH;KHM;40;"Kandaal [Kândal]";province;"8";12904
"Cambodia";KH;KHM;40;"Kaoh Kong [Kaôh Kong]";province;"9";12905
"Cambodia";KH;KHM;40;"Kracheh [Krâchéh]";province;"10";12906
"Cambodia";KH;KHM;40;"Krong Kaeb [Krong Kêb]";autonomous municipality;"23";12907
"Cambodia";KH;KHM;40;"Krong Pailin [Krong Pailin]";autonomous municipality;"24";12908
"Cambodia";KH;KHM;40;"Krong Preah Sihanouk [Krong Preah Sihanouk]";autonomous municipality;"18";12909
"Cambodia";KH;KHM;40;"Mondol Kiri [Môndól Kiri]";province;"11";12910
"Cambodia";KH;KHM;40;"Otdar Mean Chey [Otdâr Méanchey]";province;"22";12901
"Cambodia";KH;KHM;40;"Phnom Penh [Phnum Pénh]";autonomous municipality;"12";12921
"Cambodia";KH;KHM;40;"Pousaat [Pouthisat]";province;"15";12900
"Cambodia";KH;KHM;40;"Preah Vihear [Preah Vihéar]";province;"13";12913
"Cambodia";KH;KHM;40;"Prey Veaeng [Prey Vêng]";province;"14";12914
"Cambodia";KH;KHM;40;"Rotanak Kiri [Rôtânôkiri]";province;"16";12922
"Cambodia";KH;KHM;40;"Siem Reab [Siemréab]";province;"17";12915
"Cambodia";KH;KHM;40;"Stueng Traeng [Stœ?ng Trêng]";province;"19";12925
"Cambodia";KH;KHM;40;"Svaay Rieng [Svay Rieng]";province;"20";12916
"Cambodia";KH;KHM;40;"Taakaev [Takêv]";province;"21";12924
