COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Democratic People's Republic Of Korea";KP;PRK;121;"Chagang-do";province;"04";21370
"Democratic People's Republic Of Korea";KP;PRK;121;"Chagang-do";province;"CHA";48098
"Democratic People's Republic Of Korea";KP;PRK;121;"Hamgyong-bukdo";province;"09";21369
"Democratic People's Republic Of Korea";KP;PRK;121;"Hamgyong-namdo";province;"08";21368
"Democratic People's Republic Of Korea";KP;PRK;121;"Hamgyongbuk-do";province;"HAB";48096
"Democratic People's Republic Of Korea";KP;PRK;121;"Hamgyongnam-do";province;"HAN";48095
"Democratic People's Republic Of Korea";KP;PRK;121;"Hwanghae-bukto";province;"06";21367
"Democratic People's Republic Of Korea";KP;PRK;121;"Hwanghae-namdo";province;"05";21366
"Democratic People's Republic Of Korea";KP;PRK;121;"Hwanghaebuk-do";province;"HWB";48092
"Democratic People's Republic Of Korea";KP;PRK;121;"Hwanghaenam-do";province;"HWN";48091
"Democratic People's Republic Of Korea";KP;PRK;121;"Kaesong-si";special city;"KAE";21373
"Democratic People's Republic Of Korea";KP;PRK;121;"Kangwon-do";province;"KAN";48097
"Democratic People's Republic Of Korea";KP;PRK;121;"Kangwon-do";province;"07";15053
"Democratic People's Republic Of Korea";KP;PRK;121;"Najin Sonbong-si";special city;"NAJ";21374
"Democratic People's Republic Of Korea";KP;PRK;121;"Nampo-si";special city;"NAM";21375
"Democratic People's Republic Of Korea";KP;PRK;121;"Nason";Special City;"13";21371
"Democratic People's Republic Of Korea";KP;PRK;121;"Pyongan-bukdo";province;"03";21363
"Democratic People's Republic Of Korea";KP;PRK;121;"Pyongan-namdo";province;"02";21364
"Democratic People's Republic Of Korea";KP;PRK;121;"Pyonganbuk-do";province;"PYB";48093
"Democratic People's Republic Of Korea";KP;PRK;121;"Pyongannam-do";province;"PYN";48094
"Democratic People's Republic Of Korea";KP;PRK;121;"Pyongyang";Capital City;"01";21372
"Democratic People's Republic Of Korea";KP;PRK;121;"Pyongyang-si";special city;"PYO";48099
"Democratic People's Republic Of Korea";KP;PRK;121;"Rason";;"X1~";48089
"Democratic People's Republic Of Korea";KP;PRK;121;"Yanggang-do";province;"10";21365
"Democratic People's Republic Of Korea";KP;PRK;121;"Yanggang-do";province;"YAN";48090
