COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Republic of Korea";KR;KOR;120;"Busan Gwang'yeogsi [Pusan-Kwangyokshi]";metropolitan city;"26";20247
"Republic of Korea";KR;KOR;120;"Chungcheongbugdo [Ch'ungch'ongbuk-do]";province;"43";20255
"Republic of Korea";KR;KOR;120;"Chungcheongnamdo [Ch'ungch'ongnam-do]";province;"44";20256
"Republic of Korea";KR;KOR;120;"Daegu Gwang'yeogsi [Taegu-Kwangyokshi]";metropolitan city;"27";20248
"Republic of Korea";KR;KOR;120;"Daejeon Gwang'yeogsi [Taejon-Kwangyokshi]";metropolitan city;"30";20251
"Republic of Korea";KR;KOR;120;"Gang'weondo [Kang-won-do]";province;"42";15042
"Republic of Korea";KR;KOR;120;"Gwangju Gwang'yeogsi [Kwangju-Kwangyokshi]";metropolitan city;"29";20250
"Republic of Korea";KR;KOR;120;"Gyeonggido [Kyonggi-do]";province;"41";20253
"Republic of Korea";KR;KOR;120;"Gyeongsangbugdo [Kyongsangbuk-do]";province;"47";20259
"Republic of Korea";KR;KOR;120;"Gyeongsangnamdo [Kyongsangnam-do]";province;"48";20260
"Republic of Korea";KR;KOR;120;"Incheon Gwang'yeogsi [Inch'n-Kwangyokshi]";metropolitan city;"28";20249
"Republic of Korea";KR;KOR;120;"Jejudo [Cheju-do]";province;"49";20261
"Republic of Korea";KR;KOR;120;"Jeonrabugdo[Chollabuk-do]";province;"45";20257
"Republic of Korea";KR;KOR;120;"Jeonranamdo [Chollanam-do]";province;"46";20258
"Republic of Korea";KR;KOR;120;"Seoul Teugbyeolsi [Seoul-T'ukpyolshi]";capital metropolitan city;"11";20246
"Republic of Korea";KR;KOR;120;"Ulsan Gwang'yeogsi [Ulsan-Kwangyokshi]";metropolitan city;"31";20252
