COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Lao People's Democratic Republic";LA;LAO;124;"Attapu [Attopeu]";province;"AT";15080
"Lao People's Democratic Republic";LA;LAO;124;"Bokèo";province;"BK";15081
"Lao People's Democratic Republic";LA;LAO;124;"Bolikhamxai [Borikhane]";province;"BL";15089
"Lao People's Democratic Republic";LA;LAO;124;"Champasak [Champassak]";province;"CH";15082
"Lao People's Democratic Republic";LA;LAO;124;"Houaphan";province;"HO";15093
"Lao People's Democratic Republic";LA;LAO;124;"Khammouan";province;"KH";15094
"Lao People's Democratic Republic";LA;LAO;124;"Louang Namtha";province;"LM";15083
"Lao People's Democratic Republic";LA;LAO;124;"Louangphabang [Louang Prabang]";province;"LP";15092
"Lao People's Democratic Republic";LA;LAO;124;"Oudômxai [Oudomsai]";province;"OU";15084
"Lao People's Democratic Republic";LA;LAO;124;"Phôngsali [Phong Saly]";province;"PH";15085
"Lao People's Democratic Republic";LA;LAO;124;"Salavan [Saravane]";province;"SL";15091
"Lao People's Democratic Republic";LA;LAO;124;"Savannakhét";province;"SV";15086
"Lao People's Democratic Republic";LA;LAO;124;"Vientiane";province;"VI";15095
"Lao People's Democratic Republic";LA;LAO;124;"Vientiane Prefecture";prefecture;"VT";15087
"Lao People's Democratic Republic";LA;LAO;124;"Xaignabouli [Sayaboury]";province;"XA";15088
"Lao People's Democratic Republic";LA;LAO;124;"Xaisômboun";special zone;"XN";15096
"Lao People's Democratic Republic";LA;LAO;124;"Xiangkhoang [Xieng Khouang]";province;"XI";15079
"Lao People's Democratic Republic";LA;LAO;124;"Xékong [Sékong]";province;"XE";15090
