COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Liechtenstein";LI;LIE;130;"Balzers";Commune;"01";15193
"Liechtenstein";LI;LIE;130;"Eschen";Commune;"02";15194
"Liechtenstein";LI;LIE;130;"Gamprin";Commune;"03";15192
"Liechtenstein";LI;LIE;130;"Mauren";Commune;"04";15195
"Liechtenstein";LI;LIE;130;"Planken";Commune;"05";15196
"Liechtenstein";LI;LIE;130;"Ruggell";Commune;"06";15191
"Liechtenstein";LI;LIE;130;"Schaan";Commune;"07";15197
"Liechtenstein";LI;LIE;130;"Schellenberg";Commune;"08";15200
"Liechtenstein";LI;LIE;130;"Triesen";Commune;"09";15198
"Liechtenstein";LI;LIE;130;"Triesenberg";Commune;"10";15199
"Liechtenstein";LI;LIE;130;"Vaduz";Commune;"11";15190
