COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Lesotho";LS;LSO;127;"Berea";District;"D";15138
"Lesotho";LS;LSO;127;"Butha-Buthe";District;"B";15139
"Lesotho";LS;LSO;127;"Leribe";District;"C";15145
"Lesotho";LS;LSO;127;"Mafeteng";District;"E";15140
"Lesotho";LS;LSO;127;"Maseru";District;"A";15146
"Lesotho";LS;LSO;127;"Mohale's Hoek";District;"F";15141
"Lesotho";LS;LSO;127;"Mokhotlong";District;"J";15142
"Lesotho";LS;LSO;127;"Qacha's Nek";District;"H";15137
"Lesotho";LS;LSO;127;"Quthing";District;"G";15143
"Lesotho";LS;LSO;127;"Thaba-Tseka";District;"K";15144
