COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Libya";LY;LBY;129;"Ajdabiya";;"AJ";15169
"Libya";LY;LBY;129;"Al ?izam al Akh?ar";;"HZ";15180
"Libya";LY;LBY;129;"Al Butnan";popularate;"BU";15171
"Libya";LY;LBY;129;"Al Jabal al Akh?ar";popularate;"JA";15174
"Libya";LY;LBY;129;"Al Jabal al Gharbī";popularate;"JG";48229
"Libya";LY;LBY;129;"Al Jifarah";popularate;"JI";15181
"Libya";LY;LBY;129;"Al Jufrah";popularate;"JU";15175
"Libya";LY;LBY;129;"Al Kufrah";popularate;"KF";15176
"Libya";LY;LBY;129;"Al Marj";popularate;"MJ";15182
"Libya";LY;LBY;129;"Al Marqab";popularate;"MB";15160
"Libya";LY;LBY;129;"Al Qatrun";;"QT";20297
"Libya";LY;LBY;129;"Al Qubbah";;"QB";15163
"Libya";LY;LBY;129;"Al Wāḩāt";popularate;"WA";15167
"Libya";LY;LBY;129;"An Nuqat al Khams";popularate;"NQ";15185
"Libya";LY;LBY;129;"Ash Shati'";District;"SH";15189
"Libya";LY;LBY;129;"Az Zawiyah";popularate;"ZA";15168
"Libya";LY;LBY;129;"Banghazi";popularate;"BA";15177
"Libya";LY;LBY;129;"Bani Walid";;"BW";15170
"Libya";LY;LBY;129;"Darnah";popularate;"DR";15178
"Libya";LY;LBY;129;"Ghadamis";;"GD";15172
"Libya";LY;LBY;129;"Gharyan";;"GR";15179
"Libya";LY;LBY;129;"Ghat";popularate;"GT";15173
"Libya";LY;LBY;129;"Jaghbub";;"JB";20286
"Libya";LY;LBY;129;"Misratah";popularate;"MI";15161
"Libya";LY;LBY;129;"Mizdah";;"MZ";15187
"Libya";LY;LBY;129;"Murzuq";popularate;"MQ";15186
"Libya";LY;LBY;129;"Nalut";popularate;"NL";15162
"Libya";LY;LBY;129;"Sabha";popularate;"SB";15184
"Libya";LY;LBY;129;"Sabratah Surman";;"SS";15164
"Libya";LY;LBY;129;"Surt";popularate;"SR";15183
"Libya";LY;LBY;129;"Tajura' wa an Nawahi Arba";;"TN";20303
"Libya";LY;LBY;129;"Tarabulus";popularate;"TB";15165
"Libya";LY;LBY;129;"Tarhunah-Masallatah";;"TM";15188
"Libya";LY;LBY;129;"Wadi al ?ayat";popularate;"WD";15166
"Libya";LY;LBY;129;"Wādī ash Shāţiʾ";popularate;"WS";48230
"Libya";LY;LBY;129;"Yafran-Jadu";;"YJ";15159
