COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Republic of Moldova";MD;MDA;148;"Anenii Noi";district;"AN";15471
"Republic of Moldova";MD;MDA;148;"Basarabeasca";district;"BS";15454
"Republic of Moldova";MD;MDA;148;"Briceni";district;"BR";15472
"Republic of Moldova";MD;MDA;148;"Bălţi";city;"BA";15453
"Republic of Moldova";MD;MDA;148;"Cahul";district;"CA";15455
"Republic of Moldova";MD;MDA;148;"Cantemir";district;"CT";15458
"Republic of Moldova";MD;MDA;148;"Chisinau";city;"CU";15459
"Republic of Moldova";MD;MDA;148;"Chisinau City";city;"CH";20309
"Republic of Moldova";MD;MDA;148;"Cimişlia";district;"CM";15460
"Republic of Moldova";MD;MDA;148;"Criuleni";district;"CR";15475
"Republic of Moldova";MD;MDA;148;"Călăraşi";district;"CL";15473
"Republic of Moldova";MD;MDA;148;"Căuşeni";district;"CS";15474
"Republic of Moldova";MD;MDA;148;"Donduşeni";district;"DO";15461
"Republic of Moldova";MD;MDA;148;"Drochia";district;"DR";15476
"Republic of Moldova";MD;MDA;148;"Dubăsari";district;"DU";15444
"Republic of Moldova";MD;MDA;148;"Edinet";district;"ED";15477
"Republic of Moldova";MD;MDA;148;"Floreşti";district;"FL";15443
"Republic of Moldova";MD;MDA;148;"Făleşti";district;"FA";15445
"Republic of Moldova";MD;MDA;148;"Unitatea teritoriala autonoma (UTAG) Gagauzia";autonomous territorial unit;"GA";15446
"Republic of Moldova";MD;MDA;148;"Glodeni";district;"GL";15478
"Republic of Moldova";MD;MDA;148;"Hînceşti";district;"HI";15448
"Republic of Moldova";MD;MDA;148;"Ialoveni";district;"IA";15442
"Republic of Moldova";MD;MDA;148;"Leova";district;"LE";15449
"Republic of Moldova";MD;MDA;148;"Lăpuşina";district;"LA";20171
"Republic of Moldova";MD;MDA;148;"Nisporeni";district;"NI";15450
"Republic of Moldova";MD;MDA;148;"Ocniţa";district;"OC";15479
"Republic of Moldova";MD;MDA;148;"Orhei";district;"OR";15451
"Republic of Moldova";MD;MDA;148;"Rezina";district;"RE";15441
"Republic of Moldova";MD;MDA;148;"Rîşcani";district;"RI";15463
"Republic of Moldova";MD;MDA;148;"Soroca";district;"SO";15466
"Republic of Moldova";MD;MDA;148;"Străşeni";district;"ST";15467
"Republic of Moldova";MD;MDA;148;"unitatea teritoriala din Stînga Nistrului";territorial unit;"SN";20172
"Republic of Moldova";MD;MDA;148;"Sîngerei";district;"SI";15464
"Republic of Moldova";MD;MDA;148;"Taraclia";district;"TA";15481
"Republic of Moldova";MD;MDA;148;"Teleneşti";district;"TE";15468
"Republic of Moldova";MD;MDA;148;"Tighina";city;"BD";15469
"Republic of Moldova";MD;MDA;148;"Tighina";district;"TI";48215
"Republic of Moldova";MD;MDA;148;"Ungheni";district;"UN";15470
"Republic of Moldova";MD;MDA;148;"Şoldăneşti";district;"SD";15465
"Republic of Moldova";MD;MDA;148;"Ştefan Vodă";district;"SV";15440
