COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Aerodrom";municipality;"01";48906
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Aerodrom *";Municipality;"AD";20121
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Aracinovo";Municipality;"AR";20122
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Aračinovo";municipality;"02";48907
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Berovo";Municipality;"BR";15224
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Berovo";municipality;"03";48908
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bitola";municipality;"04";48909
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bitola";Municipality;"TL";15225
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bogdanci";municipality;"05";48910
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bogdanci";Municipality;"BG";20123
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bogovinje";municipality;"06";48911
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bogovinje";Municipality;"VJ";20124
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bosilovo";Municipality;"BS";20125
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Bosilovo";municipality;"07";48912
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Brvenica";Municipality;"BN";20126
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Brvenica";municipality;"08";48913
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Butel";municipality;"09";48914
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Butel *";Municipality;"BU";20127
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Cair *";Municipality;"CI";20128
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Caška";Municipality;"CA";20129
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Centar";municipality;"77";48915
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Centar *";Municipality;"CE";20130
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Centar Župa";Municipality;"CZ";20131
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Centar Župa";municipality;"78";48916
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Cešinovo-Obleševo";Municipality;"CH";20132
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Cucer Sandevo";Municipality;"CS";20133
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Debar";Municipality;"DB";15227
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Debar";municipality;"21";48921
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Debarca";municipality;"22";48922
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Debarca";Municipality;"DA";20138
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Delcevo";Municipality;"DL";15228
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Delčevo";municipality;"23";48923
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Demir Hisar";municipality;"25";48924
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Demir Hisar";Municipality;"DM";15229
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Demir Kapija";Municipality;"DK";20134
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Demir Kapija";municipality;"24";48925
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Dojran";Municipality;"SD";20135
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Dojran";municipality;"26";48926
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Dolneni";municipality;"27";48927
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Dolneni";Municipality;"DE";20136
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Drugovo";Municipality;"DR";20137
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Drugovo";municipality;"28";48928
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gazi Baba";municipality;"17";48929
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gazi Baba *";Municipality;"GB";20310
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gevgelija";municipality;"18";48930
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gevgelija";Municipality;"GV";15230
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gjorce Petrov *";Municipality;"GP";20311
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gjorče Petrov";municipality;"29";48931
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gostivar";municipality;"19";48932
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gostivar";Municipality;"GT";15233
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gradsko";Municipality;"GR";20312
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Gradsko";municipality;"20";48933
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Ilinden";Municipality;"IL";20313
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Ilinden";municipality;"34";48934
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Jegunovce";Municipality;"JG";20314
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Jegunovce";municipality;"35";48935
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Karbinci";municipality;"37";48936
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Karbinci";Municipality;"KB";20315
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Karpoš";municipality;"38";48937
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Karpoš *";Municipality;"KX";20316
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kavadarci";municipality;"36";48938
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kavadarci";Municipality;"AV";15231
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kicevo";Municipality;"KH";15234
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kisela Voda";municipality;"39";48940
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kisela Voda *";Municipality;"VD";20139
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kičevo";municipality;"40";48939
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kocani";Municipality;"OC";15232
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Konce";Municipality;"KN";20140
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Konče";municipality;"41";48942
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kočani";municipality;"42";48941
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kratovo";municipality;"43";48943
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kratovo";Municipality;"KY";15235
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kriva Palanka";Municipality;"KZ";15249
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kriva Palanka";municipality;"44";48944
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Krivogaštani";municipality;"45";48945
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Krivogaštani";Municipality;"KG";20141
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kruševo";municipality;"46";48946
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kruševo";Municipality;"KS";15236
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kumanovo";municipality;"47";48947
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Kumanovo";Municipality;"UM";15250
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Lipkovo";Municipality;"LI";20142
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Lipkovo";municipality;"48";48948
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Lozovo";Municipality;"LO";20143
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Lozovo";municipality;"49";48949
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Makedonska Kamenica";municipality;"51";48950
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Makedonska Kamenica";Municipality;"MK";20144
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Makedonski Brod";municipality;"52";48951
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Makedonski Brod";Municipality;"MD";20145
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Mavrovo i Rostuša";municipality;"50";48952
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Mavrovo-i-Rostuša";Municipality;"MR";20146
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Mogila";Municipality;"MG";20147
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Mogila";municipality;"53";48953
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Negotino";municipality;"54";48954
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Negotino";Municipality;"NG";15237
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Novaci";Municipality;"NV";20148
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Novaci";municipality;"55";48955
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Novo Selo";Municipality;"NS";20149
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Novo Selo";municipality;"56";48956
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Ohrid";municipality;"58";48957
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Ohrid";Municipality;"OD";15238
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Oslomej";Municipality;"OS";20150
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Oslomej";municipality;"57";48958
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Pehcevo";Municipality;"PH";20151
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Pehčevo";municipality;"60";48959
"the Former Yugoslav Republic Of Macedonia";MK;MKD;134;"Petrovec";municipality;"59";48960
