COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Mauritania";MR;MRT;143;"Adrar";region;"07";15379
"Mauritania";MR;MRT;143;"Assaba";region;"03";15378
"Mauritania";MR;MRT;143;"Brakna";region;"05";15384
"Mauritania";MR;MRT;143;"Dakhlet Nouâdhibou";region;"08";15380
"Mauritania";MR;MRT;143;"Gorgol";region;"04";15387
"Mauritania";MR;MRT;143;"Guidimaka";region;"10";15388
"Mauritania";MR;MRT;143;"Hodh ech Chargui";region;"01";15386
"Mauritania";MR;MRT;143;"Hodh el Gharbi";region;"02";15381
"Mauritania";MR;MRT;143;"Inchiri";region;"12";15382
"Mauritania";MR;MRT;143;"Nouakchott";district;"NKC";15389
"Mauritania";MR;MRT;143;"Tagant";region;"09";15385
"Mauritania";MR;MRT;143;"Tiris Zemmour";region;"11";15383
"Mauritania";MR;MRT;143;"Trarza";region;"06";15377
